Year,Page,Question_Number,Question_Type,Instruction,Passage,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2015,1,1,objective,,,,The expression 'such a rude room of such a poor pair' illustrates,onomatopoeia,pun,rhyme,alliteration,D,https://myschool.ng/classroom/literature-in-english/45559?exam_type=waec&exam_year=2015&type=obj&page=1
2015,1,2,objective,,,,The setting is,dawn,sunset,midday,night,D,https://myschool.ng/classroom/literature-in-english/45561?exam_type=waec&exam_year=2015&type=obj&page=1
2015,1,3,objective,,,,The rhyme scheme is,aabb ccdd eeff,abab abab aabb,abca abbc abab,abba abca abab,A,https://myschool.ng/classroom/literature-in-english/45562?exam_type=waec&exam_year=2015&type=obj&page=1
2015,1,4,objective,,,,The theme of the poem is,the love of mother,invoking the spirit of womanhood,admiration for women's hard work,the suffering of women,C,https://myschool.ng/classroom/literature-in-english/45564?exam_type=waec&exam_year=2015&type=obj&page=1
2015,1,5,objective,,,,The literary device used in line 7 is,conceit,personification,hyperbole,pathos,C,https://myschool.ng/classroom/literature-in-english/45566?exam_type=waec&exam_year=2015&type=obj&page=1
2015,2,6,objective,,,,A speech in a play in which a character speaks his or her thoughts alone is,a monologue,an aside,an epilogue,a soliloquy,D,https://myschool.ng/classroom/literature-in-english/45568?exam_type=waec&exam_year=2015&type=obj&page=2
2015,2,7,objective,,,,"In literature, repetition is used essentially for",rhyme,suspense,allusion,emphasis,D,https://myschool.ng/classroom/literature-in-english/45571?exam_type=waec&exam_year=2015&type=obj&page=2
2015,2,8,objective,,,,The pattern of a poem without reference to its content is referred to as the,limerick,metre,free verse,form,D,https://myschool.ng/classroom/literature-in-english/45573?exam_type=waec&exam_year=2015&type=obj&page=2
2015,2,9,objective,,,,The performers in a play constitute the,chorus,characters,audience,cast,D,https://myschool.ng/classroom/literature-in-english/45574?exam_type=waec&exam_year=2015&type=obj&page=2
2015,2,10,objective,,,,The stanza is an example of,appellation,apostrophe,euphemism,elegy,B,https://myschool.ng/classroom/literature-in-english/45575?exam_type=waec&exam_year=2015&type=obj&page=2
2015,3,11,objective,,,,Pan is used here as,an allusion,symbol,irony,metonymy,B,https://myschool.ng/classroom/literature-in-english/45577?exam_type=waec&exam_year=2015&type=obj&page=3
2015,3,12,objective,,,,The rhyme scheme of the stanza is,abcabcc,ababcdd,babacc,bcbccaa,B,https://myschool.ng/classroom/literature-in-english/45582?exam_type=waec&exam_year=2015&type=obj&page=3
2015,3,13,objective,,,,A metrical foot in which a stressed syllable is followed by an unstressed syllable is,iambic,spondaic,trochaic,dactylic,C,https://myschool.ng/classroom/literature-in-english/45585?exam_type=waec&exam_year=2015&type=obj&page=3
2015,3,14,objective,,,,........... Is the location of the action of the plot,Setting,Narrative technique,Point of view,Characterization,A,https://myschool.ng/classroom/literature-in-english/45586?exam_type=waec&exam_year=2015&type=obj&page=3
2015,3,15,objective,,,,A ballad is essentially a ........... poem,descriptive,dramatic,pastoral,narrative,D,https://myschool.ng/classroom/literature-in-english/45588?exam_type=waec&exam_year=2015&type=obj&page=3
2015,4,16,objective,,,,The first four lines of the Shakespearian sonnet rhyme,abcd,abba,abab,cdcd,C,https://myschool.ng/classroom/literature-in-english/45589?exam_type=waec&exam_year=2015&type=obj&page=4
2015,4,17,objective,,,,A story in which characters or actions represent abstract ideas or moral qualities is,an epic,a legend,an allegory,a satire,C,https://myschool.ng/classroom/literature-in-english/45591?exam_type=waec&exam_year=2015&type=obj&page=4
2015,4,18,biblical-reference,,,,The use of imagery in prose or verse,appeals to the senses,develops the plot,creates confusion,obscures meaning,A,https://myschool.ng/classroom/literature-in-english/45592?exam_type=waec&exam_year=2015&type=obj&page=4
2015,4,19,objective,,,,The lines illustrate,soliloquy,parallelism,dialogue,contrast,B,https://myschool.ng/classroom/literature-in-english/45594?exam_type=waec&exam_year=2015&type=obj&page=4
2015,4,20,objective,,,,'heads' in the second line is an example of,synecdoche,inversion,epithet,conceit,A,https://myschool.ng/classroom/literature-in-english/45595?exam_type=waec&exam_year=2015&type=obj&page=4
2015,5,21,theory,,,,A character that develops in the course of a novel or play is described as,flat,antagonist,round,protagonist,C,https://myschool.ng/classroom/literature-in-english/45597?exam_type=waec&exam_year=2015&type=obj&page=5
2015,5,22,objective,,,,A dirge is a poem sung,to send a child to sleep,to make workers happy,at a birthday party,at a funeral,D,https://myschool.ng/classroom/literature-in-english/45600?exam_type=waec&exam_year=2015&type=obj&page=5
2015,5,23,objective,,,,"In drama, the ............. creates humour",hero,clown,villain,chorus,B,https://myschool.ng/classroom/literature-in-english/45601?exam_type=waec&exam_year=2015&type=obj&page=5
2015,5,24,objective,,,,'Let me not love thee if I love thee not' illustrates,metaphor,proverb,paradox,meiosis,C,https://myschool.ng/classroom/literature-in-english/45602?exam_type=waec&exam_year=2015&type=obj&page=5
2015,5,25,objective,,,,...........is a literary device used to express unpleasant in a more acceptable manner,Epilogue,Epigram,Euphemism,Eulogy,C,https://myschool.ng/classroom/literature-in-english/45603?exam_type=waec&exam_year=2015&type=obj&page=5
2015,6,26,objective,,,,The write's attitude to the couple is one of,resignation,indifference,patronage,praise,A,https://myschool.ng/classroom/literature-in-english/45609?exam_type=waec&exam_year=2015&type=obj&page=6
2015,6,27,passage-based,,,,The dominant literary device used in the passage is,litotes,personification,simle,paradox,B,https://myschool.ng/classroom/literature-in-english/45610?exam_type=waec&exam_year=2015&type=obj&page=6
2015,6,28,passage-based,,,,The rhetorical question that ends the passage stresses the,wickedness of thieves,poverty of the couple,security of the hut,filthiness of the surrounding,B,https://myschool.ng/classroom/literature-in-english/45611?exam_type=waec&exam_year=2015&type=obj&page=6
2015,6,29,objective,,,,The poet's tone is one of,sadness,joy,condemnation,sarcasm,B,https://myschool.ng/classroom/literature-in-english/45709?exam_type=waec&exam_year=2015&type=obj&page=6
2015,6,30,objective,,,,'To bring forth sons and daughters brave'' illustrates,paradox,zeugma,inversion,epigram,C,https://myschool.ng/classroom/literature-in-english/45710?exam_type=waec&exam_year=2015&type=obj&page=6
2015,7,31,objective,,,,The Speaker is,Gonzalo,Antonio,Prospero,Alonso,D,https://myschool.ng/classroom/literature-in-english/45713?exam_type=waec&exam_year=2015&type=obj&page=7
2015,7,32,objective,,,,The Speaker is,Gonzalo,Antonio,Prospero,Alonso,D,https://myschool.ng/classroom/literature-in-english/45714?exam_type=waec&exam_year=2015&type=obj&page=7
2015,7,33,objective,,,,The addressee is,Ariel,Ferdinand,Caliban,Miranda,C,https://myschool.ng/classroom/literature-in-english/45715?exam_type=waec&exam_year=2015&type=obj&page=7
2015,7,34,objective,,,,The ''impostor'' is,Sebastian,Antonio,Ferdinand,Alonso,A,https://myschool.ng/classroom/literature-in-english/45716?exam_type=waec&exam_year=2015&type=obj&page=7
2015,7,35,objective,,,,The ''advocate'' and the ''impostor'' are,conspirators,suspicious of each other,enemies,attracted to each other,A,https://myschool.ng/classroom/literature-in-english/45717?exam_type=waec&exam_year=2015&type=obj&page=7
2015,8,36,objective,,,,The speaker's utterance betrays his,anger,pretence,hatred,sorrow,D,https://myschool.ng/classroom/literature-in-english/45718?exam_type=waec&exam_year=2015&type=obj&page=8
2015,8,37,objective,,,,The speaker is,Gonzalo,Antonio,Sebastian,Alonso,C,https://myschool.ng/classroom/literature-in-english/45719?exam_type=waec&exam_year=2015&type=obj&page=8
2015,8,38,objective,,,,''These words'' refer to,the shipwreck,the son's disappearance,the daughter's wedding,Prospero's magic,C,https://myschool.ng/classroom/literature-in-english/45720?exam_type=waec&exam_year=2015&type=obj&page=8
2015,8,39,objective,,,,Where did the wee\dding take place?,Algiers,Milan,Tunis,Naples,B,https://myschool.ng/classroom/literature-in-english/45721?exam_type=waec&exam_year=2015&type=obj&page=8
2015,8,40,objective,,,,The setting is,outside Prospero's cell,on a ship,in front of Prospero's cell,another part of the island,B,https://myschool.ng/classroom/literature-in-english/45722?exam_type=waec&exam_year=2015&type=obj&page=8
2015,9,41,objective,,,,''.......in my rate'' means,I'm very certain,so far as I can see,there's no doubt,as it appears,B,https://myschool.ng/classroom/literature-in-english/45723?exam_type=waec&exam_year=2015&type=obj&page=9
2015,9,42,objective,,,,Ariel has 'come' because,he has been invited by Prospero,he wants to make a request,he desires a meeting,flying is no problem to him,A,https://myschool.ng/classroom/literature-in-english/45725?exam_type=waec&exam_year=2015&type=obj&page=9
2015,9,43,objective,,,,Prospero has actually,raised a storm at sea,punished Miranda,dismissed Ferdinand,commanded Ariel to disappear,A,https://myschool.ng/classroom/literature-in-english/45726?exam_type=waec&exam_year=2015&type=obj&page=9
