Year,Page,Question_Number,Question_Type,Instruction,Comprehension_Passage,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2024,1,1,objective,,,,Which of the following creatures did God command into existence on the second day of creation?,Light,firmament,birds,vegetation,B,https://myschool.ng/classroom/christian-religious-knowledge-crk/72048?exam_type=waec&exam_year=2024&type=obj&page=1
2024,1,2,objective,,,,The determination of times and seasons was made possible with the creation of ?,light,ray,stars,moon,A,https://myschool.ng/classroom/christian-religious-knowledge-crk/72050?exam_type=waec&exam_year=2024&type=obj&page=1
2024,1,3,objective,,,,Which of the following was man's responsibility to other creatures?,Provide them with food,Have dominion over them,Preserve them,Respect them,B,https://myschool.ng/classroom/christian-religious-knowledge-crk/72053?exam_type=waec&exam_year=2024&type=obj&page=1
2024,1,4,objective,,,,In which of the following ways did God prepare Joseph for his leadership role in Egypt? Through the,love his brothers had for him,tribulations of his early life,disagreement with his brothers,enmity with other prison inmates,B,https://myschool.ng/classroom/christian-religious-knowledge-crk/72055?exam_type=waec&exam_year=2024&type=obj&page=1
2024,1,5,objective,,,,Which of the following was the greatest reason for which Joseph's brothers decided to do away with him?,he was over pampered,his father made him a special robe,he was loved most by their father,the meaning of his dreams,D,https://myschool.ng/classroom/christian-religious-knowledge-crk/72096?exam_type=waec&exam_year=2024&type=obj&page=1
2024,2,6,objective,,,,The twelve men Moses sent to spy out the land of Canaan were meant to verify the following except the,strength and weakness of the inhabitants,population and size of the land,size of the army and their weaponery,topography and fertility of the land,C,https://myschool.ng/classroom/christian-religious-knowledge-crk/72097?exam_type=waec&exam_year=2024&type=obj&page=2
2024,2,7,objective,,,,the presence of God among His people during the day on their way out of Egypt to the wilderness of Sinai was felt in the form of,fire,light,cloud,rainbow,C,https://myschool.ng/classroom/christian-religious-knowledge-crk/72098?exam_type=waec&exam_year=2024&type=obj&page=2
2024,2,8,objective,,,,Which of the following was God's condition to Joshua if he wishes to be successful? He should,fast all the time,humble himself before the people,meditate on the book of the law,follow Moses' footsteps,C,https://myschool.ng/classroom/christian-religious-knowledge-crk/72099?exam_type=waec&exam_year=2024&type=obj&page=2
2024,2,9,objective,,,,"When the people of Israel heard the majority report of the spies, they took a decision to",pray to God to come to their aid,fight the descendants of Anak,choose a leader and return to egypt,stone joshua and caleb for blasphemy,C,https://myschool.ng/classroom/christian-religious-knowledge-crk/72100?exam_type=waec&exam_year=2024&type=obj&page=2
2024,2,10,objective,,,,"The history of Barak's war, story flawed by the fact he",consulted the oracles to find out the outcome of his battle.,conspired with Jael to take out Sisera and Canaanites,took the tribes of Zebulun and NaphtaIi to war with him,sought the presence of Deborah as a reinforcement to his courage.,D,https://myschool.ng/classroom/christian-religious-knowledge-crk/72101?exam_type=waec&exam_year=2024&type=obj&page=2
2024,3,11,objective,,,,After whose death did God sell the isrealites into the hands of king Jabin?,Moses,Ehud,aaron,caleb,B,https://myschool.ng/classroom/christian-religious-knowledge-crk/72102?exam_type=waec&exam_year=2024&type=obj&page=3
2024,3,12,objective,,,,Which of the folllowing led to the death of Ei?,the death of his of sons,the defeat of the isrealites,the capture of the ark,it was his time to die,C,https://myschool.ng/classroom/christian-religious-knowledge-crk/72103?exam_type=waec&exam_year=2024&type=obj&page=3
2024,3,13,objective,,,,"Yet his sons did not walk in his ways but turned aside for gains, they took bribes ... The sons being referred to here were",Hophni and phinehas,jonathan and abinadab,joab and asahel,joel and abijah,D,https://myschool.ng/classroom/christian-religious-knowledge-crk/72104?exam_type=waec&exam_year=2024&type=obj&page=3
2024,3,14,objective,,,,The account of Saul's rejection as a king is intended to,explain the breach between samuel and saul,teach the consequences of disobedience,show how unfit saul was as a leader,show the desire for power by men of God,B,https://myschool.ng/classroom/christian-religious-knowledge-crk/72105?exam_type=waec&exam_year=2024&type=obj&page=3
2024,3,15,objective,,,,"Rather than killing Saul, David took his spear and jar of water and rebuked Abner for",sabotage and complicity,insurbordination and inefficiency,negligence and dereliction,"gross, misconduct and ineptitude",C,https://myschool.ng/classroom/christian-religious-knowledge-crk/72106?exam_type=waec&exam_year=2024&type=obj&page=3
2024,4,16,objective,,,,Saul's death on Mount Giiboa was as a consequence of his,inability to obey God's instructions,armor bearer's obedience to his command.,loss of confidence in David the musician,sorcery by consulting the witch of Endor.,A,https://myschool.ng/classroom/christian-religious-knowledge-crk/72111?exam_type=waec&exam_year=2024&type=obj&page=4
2024,4,17,objective,,,,Solomon enjoyed the following gifts during his reign as King except _____,peaceful succession,a discerning mind,having many wives,fame and wealth,C,https://myschool.ng/classroom/christian-religious-knowledge-crk/72369?exam_type=waec&exam_year=2024&type=obj&page=4
2024,4,18,objective,,,,God registered His displeasure with David for bearing a child with Uriah's wife by striking the child with _____,deafness,sickness,blindness,death.,D,https://myschool.ng/classroom/christian-religious-knowledge-crk/72372?exam_type=waec&exam_year=2024&type=obj&page=4
2024,4,19,objective,,,,Solomon the elders and leaders of the tribes of Israel in order to ____,discuss how to build the temple,bring back the ark of the Lord,settle important disputes,dine and make merry,B,https://myschool.ng/classroom/christian-religious-knowledge-crk/72378?exam_type=waec&exam_year=2024&type=obj&page=4
2024,4,20,objective,,,,Which of the following punishment was meted out to Solomon as a result of his idolatrous?,He would lose all his wives and concubines to his enemies,All the tribes of Judah would be taken away from him,All his children and wives would go into exile,All the palaces and store houses would be occupied by his enemies,B,https://myschool.ng/classroom/christian-religious-knowledge-crk/72379?exam_type=waec&exam_year=2024&type=obj&page=4
2024,5,21,objective,,,,Obadiah demonstrated his loyalty to God during Ahab's reign where he ___,refused to serve the king's idols,divorced his idolatrous wife,hid the prophets of God in caves,tore down the altars of Baal,C,https://myschool.ng/classroom/christian-religious-knowledge-crk/72384?exam_type=waec&exam_year=2024&type=obj&page=5
2024,5,22,objective,,,,The miraculous healing of Naaman teaches mankind that,God's mercy applies to all,river Jordan is full of healing powers,God is not limited to Israel,Servants can help great men,A,https://myschool.ng/classroom/christian-religious-knowledge-crk/72386?exam_type=waec&exam_year=2024&type=obj&page=5
2024,5,23,objective,,,,Which of the following reasons cause Naboth not to part with his vineyard?,Ahab had become greedy,It was a family property,Parting with it meant defeat,The king had become dictorial,B,https://myschool.ng/classroom/christian-religious-knowledge-crk/72389?exam_type=waec&exam_year=2024&type=obj&page=5
2024,5,24,objective,,,,King Josiah took a courageous step in the presence of the Israelites by the pillar when he ___,dismissed the high preist,made a covenant before the Lord,killed all the male prostitutes,disposed of the idolatrous priest.,B,https://myschool.ng/classroom/christian-religious-knowledge-crk/72391?exam_type=waec&exam_year=2024&type=obj&page=5
2024,5,25,objective,,,,The immediate action King Josiah took during his religious reforms was the ___,breaking down of the house of the male-cult prostitutes.,removal of all idolatrous priests from offices,removal and burning of the vessels of Baal and Asherah,defiling of the high places where the priest burnt incense,C,https://myschool.ng/classroom/christian-religious-knowledge-crk/72392?exam_type=waec&exam_year=2024&type=obj&page=5
2024,6,26,objective,,,,In which of the following ways was Nehemiah said to have displayed patriotism? When he ____,permission to visit his home,mobilized people to return home,collected taxes from the Jews for the home country,felt the plight of his people and took remedial steps,D,https://myschool.ng/classroom/christian-religious-knowledge-crk/72393?exam_type=waec&exam_year=2024&type=obj&page=6
2024,6,27,objective,,,,What are these feeble Jews doing? These words of Sanballat teach us that ___,"no matter what we do, people will ridicule us",certain jokes are very destructive,we must be vigilant while we work,people would appreciate our weakness and assist,A,https://myschool.ng/classroom/christian-religious-knowledge-crk/72399?exam_type=waec&exam_year=2024&type=obj&page=6
2024,6,28,objective,,,,"That Daniel, who is one of the exiles from Judah, pays no heed to you, O king ... The king being addressed here was",Cyrus,Ashurbanipal,Nebuchadnezzar,Darius,D,https://myschool.ng/classroom/christian-religious-knowledge-crk/72400?exam_type=waec&exam_year=2024&type=obj&page=6
2024,6,29,objective,,,,Seek me and live; but do not seek Bethel and do not enter Gilgah and Bethel shall come to naught. This text from Amos which was a reaction to the mode of worship of the Israelites express the ____,Omnipresence nature of God,People's trust in God,futility of false and cultic worship,people's desire to escape justice.,C,https://myschool.ng/classroom/christian-religious-knowledge-crk/72401?exam_type=waec&exam_year=2024&type=obj&page=6
2024,6,30,objective,,,,The saying that the children of Israel shall dwell many days without ephod means ___,complete starvation in israel is inevitable,Sleeping without clothes is immenent,no preistly activities will be in Israel,Israel will be exposed to calamity.,C,https://myschool.ng/classroom/christian-religious-knowledge-crk/72402?exam_type=waec&exam_year=2024&type=obj&page=6
2024,7,31,objective,,,,"Immediately after Jesus was baptized, the following Incidents occurred except",the heavens were opened,angels came and ministered to him,the Spirit of God descended on him like a dove,a voice from heaven introduced him as son of God,B,https://myschool.ng/classroom/christian-religious-knowledge-crk/72454?exam_type=waec&exam_year=2024&type=obj&page=7
2024,7,32,objective,,,,Which of the following attributes of Jesus was demonstrated during his temptation?,His humble nature,Special relation with God,reliance on the Holy Spirit in him,abundant knowledge of the scriptures,C,https://myschool.ng/classroom/christian-religious-knowledge-crk/72455?exam_type=waec&exam_year=2024&type=obj&page=7
2024,7,33,objective,,,,"Whoever does not bear his own cross come after me, cannot be my disciple. This statement implies?",readiness to fast and pray,ability to carry Jesus' cross,readiness to deny one self,bearing the cross of others,C,https://myschool.ng/classroom/christian-religious-knowledge-crk/72456?exam_type=waec&exam_year=2024&type=obj&page=7
2024,7,34,objective,,,,"Jesus' call of Matthew, the tax collector, is a demonstration that Christians ___",are free to call anyone they like,need to study people closely before calling them,must be careful with people of character,need not discriminate against sinners,D,https://myschool.ng/classroom/christian-religious-knowledge-crk/72457?exam_type=waec&exam_year=2024&type=obj&page=7
2024,7,35,objective,,,,which of the following virtues enhances forgiveness?,Humility,Kindness,Mercy,Faithfulness,A,https://myschool.ng/classroom/christian-religious-knowledge-crk/72505?exam_type=waec&exam_year=2024&type=obj&page=7
2024,8,36,objective,,,,"During the trial of Jesus, what was Peter's reaction when the bystanders detected that he was a Galilean? He",Confronted them in disagreement,Disagreed with tears and sorrows,Swore and cursed himself with disagreement,regretted coming to the porch,C,https://myschool.ng/classroom/christian-religious-knowledge-crk/72516?exam_type=waec&exam_year=2024&type=obj&page=8
2024,8,37,objective,,,,What significant incident occurred during Jesus' resurection that was unique to the gospel of matthew?,There was thunder and lighting,Many angels came around singing,A great earthquake took place,Darkness covered the tomb,C,https://myschool.ng/classroom/christian-religious-knowledge-crk/72518?exam_type=waec&exam_year=2024&type=obj&page=8
2024,8,38,objective,,,,All the following characteristics were true of the early church except,sharpening of possessions among themselves,complaints about unfair distribution of food,admission into the church through baptism,facing prosecution boldy after Stephen's death,B,https://myschool.ng/classroom/christian-religious-knowledge-crk/72520?exam_type=waec&exam_year=2024&type=obj&page=8
