Year,Page,Question_Number,Question_Type,Instruction,Diagram_Context,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2023,1,1,diagram-based,,,https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png,"The vapour density of an organic compound with the molecular formula \(C_2H_4O_2\), is [H=1.0, C=12.0, O= 16.0]",40,120,65,30,D,https://myschool.ng/classroom/chemistry/69495?exam_type=waec&exam_year=2023&type=obj&page=1
2023,1,2,diagram-based,,,https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png,The following statements are correct except,energy is released when liquids change to solids.,carbon atoms in gaseous methane are further apart than those in solid diamond.,there is large decrease in the volume of a solid metal when pressure is applied to it.,particles move faster in the gaseous state than in the liquid state.,C,https://myschool.ng/classroom/chemistry/69496?exam_type=waec&exam_year=2023&type=obj&page=1
2023,1,3,diagram-based,,,https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png,Which of the following reactions represents the hydrolysis of an alkanoate?,\(CH_3COOH + OH^- ⇌H^+⇌ CH_3COO^- + H_2O\),\(CH_3COOH + C_2H_5OH ⇌H^+⇌ CH_3COOC_2H_5 + H_2O\),\(CH_3COOC_2H_5 + H_2O ⇌H^+⇌ CH_3COO^- + CH_3CH_2OH\),\(CH_3COOCH_2CH_3 + H_2O ⇌H^+⇌ CH_3COOH + CH_3CH_2OH\),D,https://myschool.ng/classroom/chemistry/69497?exam_type=waec&exam_year=2023&type=obj&page=1
2023,1,4,diagram-based,,,https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png,The following steps are scientific methods except,experimentation,problem identification,Analysis,Open-mindedness,D,https://myschool.ng/classroom/chemistry/69498?exam_type=waec&exam_year=2023&type=obj&page=1
2023,1,5,diagram-based,,,https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png,Alkenes can be manufactured by,the combustion of alkanes.,the cracking of hydrocarbons.,polymerization reactions.,addition of hydrogen to unsaturated vegetable oils.,B,https://myschool.ng/classroom/chemistry/69499?exam_type=waec&exam_year=2023&type=obj&page=1
2023,2,6,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png,The formation of a bond between hydrogen and a highly electronegative atom results in,polarity,electrovalent bond.,dipole,metallic bond,A,https://myschool.ng/classroom/chemistry/69500?exam_type=waec&exam_year=2023&type=obj&page=2
2023,2,7,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png,Which of the elements in the table below would react more readily with chlorine? ElementIonization energy (KJ \(mol^{-1} \times 10^{-3}\))W12.0X21.0Y106.0Z200.0,Y and Z only,X and Z only,W and X only,W and Z only,C,https://myschool.ng/classroom/chemistry/69501?exam_type=waec&exam_year=2023&type=obj&page=2
2023,2,8,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png,Which of the following properties does not give evidence of the kinetic theory of matter?,Diffusion,Melting,Polymerization,Evaporation,C,https://myschool.ng/classroom/chemistry/69502?exam_type=waec&exam_year=2023&type=obj&page=2
2023,2,9,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png,Dilute trioxonitrate (V) acid does not produce hydrogen when it reacts with metals because,it reacts with the product.,it is highly corrosive.,there is no visible reaction.,it is a strong oxidizing agent.,D,https://myschool.ng/classroom/chemistry/69503?exam_type=waec&exam_year=2023&type=obj&page=2
2023,2,10,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png,Which of the following statements is correct?,Addition reactions occur between alkanes and chlorine.,Butane has a lower boiling point than propane.,Pentane has five isomers.,An alkane with 49 carbon atoms contains 100 hydrogen atoms,D,https://myschool.ng/classroom/chemistry/69504?exam_type=waec&exam_year=2023&type=obj&page=2
