Year,Page,Question_Number,Question_Type,Instruction,Diagram_Context,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2021,1,1,cell-biology,,,https://myschool.ng/storage/classroom/NjKua7pTSPF2BPkAWNFf6p08UHNIoq3y6Q2fFg2F.jpeg | https://myschool.ng/storage/classroom/sUBGEtcLHXzq5qCxmSKgVnEMEpXiNSj6UdGHrQNX.jpeg | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/classroom/p51B2b8ZF1Kvm4vRgNHNPDZkvDsjWayeWTzbIOQc.jpeg | https://myschool.ng/storage/classroom/nfk5k89XkJJ5H3dy6ABYwjmtcQEQpbw0P3w5Z7cO.jpeg,Which of the following organelles is common to both plant and animal cells,Cellulose cell wall,Chlorophyll,Cell membrane,Large vacuole,C,https://myschool.ng/classroom/biology/62352?exam_type=waec&exam_year=2021&type=obj&page=1
2021,1,2,diagram-based,,The diagrams below are illustrations of different sections of a particular fruit. Study them and answer questions 2 and 3,https://myschool.ng/storage/classroom/NjKua7pTSPF2BPkAWNFf6p08UHNIoq3y6Q2fFg2F.jpeg | https://myschool.ng/storage/classroom/sUBGEtcLHXzq5qCxmSKgVnEMEpXiNSj6UdGHrQNX.jpeg | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/classroom/p51B2b8ZF1Kvm4vRgNHNPDZkvDsjWayeWTzbIOQc.jpeg | https://myschool.ng/storage/classroom/nfk5k89XkJJ5H3dy6ABYwjmtcQEQpbw0P3w5Z7cO.jpeg,"The sections in X and Y respectively, are",longitudinal and transverse,transverse and longitudinal,cross and transverse,transverse and cross,B,https://myschool.ng/classroom/biology/62353?exam_type=waec&exam_year=2021&type=obj&page=1
2021,1,3,plant-biology,,The diagrams below are illustrations of different sections of a particular fruit. Study them and answer questions 2 and 3,https://myschool.ng/storage/classroom/sUBGEtcLHXzq5qCxmSKgVnEMEpXiNSj6UdGHrQNX.jpeg | https://myschool.ng/storage/classroom/NjKua7pTSPF2BPkAWNFf6p08UHNIoq3y6Q2fFg2F.jpeg | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/classroom/p51B2b8ZF1Kvm4vRgNHNPDZkvDsjWayeWTzbIOQc.jpeg | https://myschool.ng/storage/classroom/nfk5k89XkJJ5H3dy6ABYwjmtcQEQpbw0P3w5Z7cO.jpeg,The fruit that has the illustrated sections is a,hesperidium,capsule,drupe,cypsela,A,https://myschool.ng/classroom/biology/62354?exam_type=waec&exam_year=2021&type=obj&page=1
2021,1,4,diagram-based,,The diagram below is an illustration of a Fungus. Study it and answer questions 4 to 6,https://myschool.ng/storage/classroom/p51B2b8ZF1Kvm4vRgNHNPDZkvDsjWayeWTzbIOQc.jpeg | https://myschool.ng/storage/classroom/NjKua7pTSPF2BPkAWNFf6p08UHNIoq3y6Q2fFg2F.jpeg | https://myschool.ng/storage/classroom/sUBGEtcLHXzq5qCxmSKgVnEMEpXiNSj6UdGHrQNX.jpeg | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/classroom/nfk5k89XkJJ5H3dy6ABYwjmtcQEQpbw0P3w5Z7cO.jpeg,The structure labelled I is associated with,sexual reproduction,asexual reproduction,bud formation,gamete formation,B,https://myschool.ng/classroom/biology/62355?exam_type=waec&exam_year=2021&type=obj&page=1
2021,1,5,diagram-based,,The diagram below is an illustration of a Fungus. Study it and answer questions 4 to 6,https://myschool.ng/storage/classroom/nfk5k89XkJJ5H3dy6ABYwjmtcQEQpbw0P3w5Z7cO.jpeg | https://myschool.ng/storage/classroom/NjKua7pTSPF2BPkAWNFf6p08UHNIoq3y6Q2fFg2F.jpeg | https://myschool.ng/storage/classroom/sUBGEtcLHXzq5qCxmSKgVnEMEpXiNSj6UdGHrQNX.jpeg | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/classroom/p51B2b8ZF1Kvm4vRgNHNPDZkvDsjWayeWTzbIOQc.jpeg,The structure labeled II is the,spore,stolon,columella,sporangium,D,https://myschool.ng/classroom/biology/62356?exam_type=waec&exam_year=2021&type=obj&page=1
2021,2,6,diagram-based,,The diagram below is an illustration of a Fungus. Study it and answer questions 4 to 6,https://myschool.ng/storage/classroom/JFrqepbCHVBq37sEvC9Mu4NXqmMHhsN9YKw8Uk2S.jpeg | https://myschool.ng/storage/classroom/AJYGFpyvDTg3mCvkoScpYDOdxLgl766HoZx1fTnH.jpeg | https://myschool.ng/storage/classroom/llvMbQokyrHZImrfcC1JodKtiwQpLpVdBgvIvw1f.jpeg | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png,Which of the following statements about the structure labeled III is correct?,secretes digestive enzymes into the substrate,absorbs mineral salts from the soil,forms the root hairs of the organism,develops into stolon,A,https://myschool.ng/classroom/biology/62357?exam_type=waec&exam_year=2021&type=obj&page=2
2021,2,7,diagram-based,,The diagram below is an illustration of a living organism. Study it and answer questions 7 and 8,https://myschool.ng/storage/classroom/AJYGFpyvDTg3mCvkoScpYDOdxLgl766HoZx1fTnH.jpeg | https://myschool.ng/storage/classroom/JFrqepbCHVBq37sEvC9Mu4NXqmMHhsN9YKw8Uk2S.jpeg | https://myschool.ng/storage/classroom/llvMbQokyrHZImrfcC1JodKtiwQpLpVdBgvIvw1f.jpeg | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png,The level of organization of the organism is,tissue,cell,organ,system,B,https://myschool.ng/classroom/biology/62358?exam_type=waec&exam_year=2021&type=obj&page=2
2021,2,8,diagram-based,,The diagram below is an illustration of a living organism. Study it and answer questions 7 and 8,https://myschool.ng/storage/classroom/llvMbQokyrHZImrfcC1JodKtiwQpLpVdBgvIvw1f.jpeg | https://myschool.ng/storage/classroom/JFrqepbCHVBq37sEvC9Mu4NXqmMHhsN9YKw8Uk2S.jpeg | https://myschool.ng/storage/classroom/AJYGFpyvDTg3mCvkoScpYDOdxLgl766HoZx1fTnH.jpeg | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png,The organism belongs to the Phylum,Rhizopoda,Ciliophora,Euglenophyta,Rhodophyta,C,https://myschool.ng/classroom/biology/62359?exam_type=waec&exam_year=2021&type=obj&page=2
2021,2,9,cell-biology,,The diagram below is an illustration of a living organism. Study it and answer questions 7 and 8,https://myschool.ng/storage/classroom/JFrqepbCHVBq37sEvC9Mu4NXqmMHhsN9YKw8Uk2S.jpeg | https://myschool.ng/storage/classroom/AJYGFpyvDTg3mCvkoScpYDOdxLgl766HoZx1fTnH.jpeg | https://myschool.ng/storage/classroom/llvMbQokyrHZImrfcC1JodKtiwQpLpVdBgvIvw1f.jpeg | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png,A plant cell placed in a solution with a higher water potential will,expand and then shrink,enlarge and become turgid.,expand and then burst,decrease in size and become flaccid,B,https://myschool.ng/classroom/biology/62360?exam_type=waec&exam_year=2021&type=obj&page=2
2021,2,10,diagram-based,,The diagram below is an illustration of a living organism. Study it and answer questions 7 and 8,https://myschool.ng/storage/classroom/JFrqepbCHVBq37sEvC9Mu4NXqmMHhsN9YKw8Uk2S.jpeg | https://myschool.ng/storage/classroom/AJYGFpyvDTg3mCvkoScpYDOdxLgl766HoZx1fTnH.jpeg | https://myschool.ng/storage/classroom/llvMbQokyrHZImrfcC1JodKtiwQpLpVdBgvIvw1f.jpeg | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png,Offspring formed by sexual reproduction exhibit more variation than those formed by asexual reproduction because,greater amount of DNA is involved in sexual reproduction,gametes of parents have different genetic composition,genetic materials come from parents of two different species,sexual reproduction is a lengthy process,B,https://myschool.ng/classroom/biology/62361?exam_type=waec&exam_year=2021&type=obj&page=2
2021,3,11,diagram-based,,,https://myschool.ng/storage/classroom/wf0LK3RM2RCR7TzhgPdqXqfvYWSMOQ8A9o4gLJih.jpeg | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/classroom/mvkMmZAX1mAfOdNmz4D2Zf6na3FGtJuuzG290MpV.jpeg,Radius and ulna are bones of the?,pectoral girdle,upper arm,pelvic girdle,lower arm,D,https://myschool.ng/classroom/biology/62362?exam_type=waec&exam_year=2021&type=obj&page=3
2021,3,12,human-biology,,,https://myschool.ng/storage/classroom/wf0LK3RM2RCR7TzhgPdqXqfvYWSMOQ8A9o4gLJih.jpeg | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/classroom/mvkMmZAX1mAfOdNmz4D2Zf6na3FGtJuuzG290MpV.jpeg,The blood vessel which carries blood from the alimentary canal to the liver is the?,hepatic artery,hepatic vein,hepatic portal vein,mesenteric artery,C,https://myschool.ng/classroom/biology/62363?exam_type=waec&exam_year=2021&type=obj&page=3
