Year,Page,Question_Number,Question_Type,Instruction,Diagram_Context,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2022,1,1,map-reading,Study the map of NONSO DISTRICT and use it to answer this question.,,https://myschool.ng/storage/classroom/qIov56aSe5WZyh2E7EU7cEiDoFQ128k8C4eCXC7z.jpeg | https://myschool.ng/storage/classroom/KEYh6JityqI5Fa4A9s3MzHuGjCIsSEakymrcVIIZ.jpeg | https://myschool.ng/storage/classroom/1fCtjybljgTqE2YAHCY44Hg406xddrhnFJLwRrrY.jpeg | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/classroom/bwFauWnsOwUySQZGk29GHGdw8dju4JedkpnuNOM8.jpeg | https://myschool.ng/storage/classroom/gJwuQRX8jcD56X3TGL1KE0m7tfeNyk4PrMyHtsLH.jpeg,What is the scale of the map in statement form?,One centimeter on the map represents ½ kilometer on the ground,One centimeter on the map represents 1 kilometer on the ground,One centimeter on the map represents 2 kilometers on the ground,One centimeter on the map represents 5 kilometers on the ground,A,https://myschool.ng/classroom/geography/63857?exam_type=waec&exam_year=2022&type=obj&page=1
2022,1,2,map-reading,Study the map of NONSO DISTRICT and use it to answer this question.,,https://myschool.ng/storage/classroom/KEYh6JityqI5Fa4A9s3MzHuGjCIsSEakymrcVIIZ.jpeg | https://myschool.ng/storage/classroom/qIov56aSe5WZyh2E7EU7cEiDoFQ128k8C4eCXC7z.jpeg | https://myschool.ng/storage/classroom/1fCtjybljgTqE2YAHCY44Hg406xddrhnFJLwRrrY.jpeg | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/classroom/bwFauWnsOwUySQZGk29GHGdw8dju4JedkpnuNOM8.jpeg | https://myschool.ng/storage/classroom/gJwuQRX8jcD56X3TGL1KE0m7tfeNyk4PrMyHtsLH.jpeg,The growth of NONSO settlement is probably because,NONSO settlement has a court,NONSO is situated at the foot of a ridge,NONSO is a port town,NONSO is a nodal town,D,https://myschool.ng/classroom/geography/63870?exam_type=waec&exam_year=2022&type=obj&page=1
2022,1,3,map-reading,Study the map of NONSO DISTRICT and use it to answer this question.,,https://myschool.ng/storage/classroom/1fCtjybljgTqE2YAHCY44Hg406xddrhnFJLwRrrY.jpeg | https://myschool.ng/storage/classroom/qIov56aSe5WZyh2E7EU7cEiDoFQ128k8C4eCXC7z.jpeg | https://myschool.ng/storage/classroom/KEYh6JityqI5Fa4A9s3MzHuGjCIsSEakymrcVIIZ.jpeg | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/classroom/bwFauWnsOwUySQZGk29GHGdw8dju4JedkpnuNOM8.jpeg | https://myschool.ng/storage/classroom/gJwuQRX8jcD56X3TGL1KE0m7tfeNyk4PrMyHtsLH.jpeg,The highest spot on the mapped area is approximately,1300 metres,1250 metres,1150 metres,1050 metres,B,https://myschool.ng/classroom/geography/63873?exam_type=waec&exam_year=2022&type=obj&page=1
2022,1,4,map-reading,Study the map of NONSO DISTRICT and use it to answer this question.,,https://myschool.ng/storage/classroom/bwFauWnsOwUySQZGk29GHGdw8dju4JedkpnuNOM8.jpeg | https://myschool.ng/storage/classroom/qIov56aSe5WZyh2E7EU7cEiDoFQ128k8C4eCXC7z.jpeg | https://myschool.ng/storage/classroom/KEYh6JityqI5Fa4A9s3MzHuGjCIsSEakymrcVIIZ.jpeg | https://myschool.ng/storage/classroom/1fCtjybljgTqE2YAHCY44Hg406xddrhnFJLwRrrY.jpeg | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/classroom/gJwuQRX8jcD56X3TGL1KE0m7tfeNyk4PrMyHtsLH.jpeg,The distance as the crow flies from Bukola to Balu is approximately,2.8km,3.8km,4.8km,7.8km,C,https://myschool.ng/classroom/geography/63876?exam_type=waec&exam_year=2022&type=obj&page=1
2022,1,5,map-reading,Study the map of NONSO DISTRICT and use it to answer this question.,,https://myschool.ng/storage/classroom/gJwuQRX8jcD56X3TGL1KE0m7tfeNyk4PrMyHtsLH.jpeg | https://myschool.ng/storage/classroom/qIov56aSe5WZyh2E7EU7cEiDoFQ128k8C4eCXC7z.jpeg | https://myschool.ng/storage/classroom/KEYh6JityqI5Fa4A9s3MzHuGjCIsSEakymrcVIIZ.jpeg | https://myschool.ng/storage/classroom/1fCtjybljgTqE2YAHCY44Hg406xddrhnFJLwRrrY.jpeg | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/classroom/bwFauWnsOwUySQZGk29GHGdw8dju4JedkpnuNOM8.jpeg,The commercial centre in the mapped area is,NONSO,Adaku,Bukola,Balu,A,https://myschool.ng/classroom/geography/63878?exam_type=waec&exam_year=2022&type=obj&page=1
2022,2,6,map-reading,Study the map of NONSO DISTRICT and use it to answer this question.,,https://myschool.ng/storage/classroom/pTzETgjgfae6xC4dGBr5wPMU0owIbeqCRl9OH12S.jpeg | https://myschool.ng/storage/classroom/kA9OJsaQROsQzfBxF1mbJiNxLSmucP1g8orRGOcW.jpeg | https://myschool.ng/storage/classroom/Jy2qwoh0U5LTy7H0i6c5lXiK2BOU1FFmMlDP0W6X.jpeg | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/classroom/wdDQQzuiSDhv980G2ZAoZ9JBkDi1XUhrgxzPSDch.jpeg,watershed in the mapped area is situated,on the plain,along the pass,on spurs,on the ridge,C,https://myschool.ng/classroom/geography/63881?exam_type=waec&exam_year=2022&type=obj&page=2
2022,2,7,map-reading,Study the map of NONSO DISTRICT and use it to answer this question.,,https://myschool.ng/storage/classroom/kA9OJsaQROsQzfBxF1mbJiNxLSmucP1g8orRGOcW.jpeg | https://myschool.ng/storage/classroom/pTzETgjgfae6xC4dGBr5wPMU0owIbeqCRl9OH12S.jpeg | https://myschool.ng/storage/classroom/Jy2qwoh0U5LTy7H0i6c5lXiK2BOU1FFmMlDP0W6X.jpeg | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/classroom/wdDQQzuiSDhv980G2ZAoZ9JBkDi1XUhrgxzPSDch.jpeg,"If the map is reduced by half its original size, what would be the scale of the new map?","1:25,000","1:50,000","1:100,000","1:150,000",C,https://myschool.ng/classroom/geography/63885?exam_type=waec&exam_year=2022&type=obj&page=2
2022,2,8,map-reading,Study the map of NONSO DISTRICT and use it to answer this question.,,https://myschool.ng/storage/classroom/Jy2qwoh0U5LTy7H0i6c5lXiK2BOU1FFmMlDP0W6X.jpeg | https://myschool.ng/storage/classroom/pTzETgjgfae6xC4dGBr5wPMU0owIbeqCRl9OH12S.jpeg | https://myschool.ng/storage/classroom/kA9OJsaQROsQzfBxF1mbJiNxLSmucP1g8orRGOcW.jpeg | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/classroom/wdDQQzuiSDhv980G2ZAoZ9JBkDi1XUhrgxzPSDch.jpeg,What is the direction of flow of River Juth?,Northeast,Northwest,Southeast,Southwest,B,https://myschool.ng/classroom/geography/63887?exam_type=waec&exam_year=2022&type=obj&page=2
2022,2,9,map-reading,Study the map of NONSO DISTRICT and use it to answer this question.,,https://myschool.ng/storage/classroom/wdDQQzuiSDhv980G2ZAoZ9JBkDi1XUhrgxzPSDch.jpeg | https://myschool.ng/storage/classroom/pTzETgjgfae6xC4dGBr5wPMU0owIbeqCRl9OH12S.jpeg | https://myschool.ng/storage/classroom/kA9OJsaQROsQzfBxF1mbJiNxLSmucP1g8orRGOcW.jpeg | https://myschool.ng/storage/classroom/Jy2qwoh0U5LTy7H0i6c5lXiK2BOU1FFmMlDP0W6X.jpeg | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png,What is the contour interval on the mapped area?,50 metres,100 metres,200 metres,300 metres,B,https://myschool.ng/classroom/geography/63889?exam_type=waec&exam_year=2022&type=obj&page=2
2022,2,10,map-reading,Study the map of NONSO DISTRICT and use it to answer this question.,,https://myschool.ng/storage/classroom/pTzETgjgfae6xC4dGBr5wPMU0owIbeqCRl9OH12S.jpeg | https://myschool.ng/storage/classroom/kA9OJsaQROsQzfBxF1mbJiNxLSmucP1g8orRGOcW.jpeg | https://myschool.ng/storage/classroom/Jy2qwoh0U5LTy7H0i6c5lXiK2BOU1FFmMlDP0W6X.jpeg | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/classroom/wdDQQzuiSDhv980G2ZAoZ9JBkDi1XUhrgxzPSDch.jpeg,Which of the following settlements is nucleated?,Bukola,Datsu,Adaku,NONSO,D,https://myschool.ng/classroom/geography/63891?exam_type=waec&exam_year=2022&type=obj&page=2
