Year,Page,Question_Number,Question_Type,Instruction,Diagram_Context,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2019,1,1,objective,,,,The time rate of increase in velocity is called,force,momentum,acceleration,speed,C,https://myschool.ng/classroom/physics/58778?exam_type=waec&exam_year=2019&type=obj&page=1
2019,1,2,objective,,,,Which of the following quantities is a vector?,Volume,Momentum,Energy,Speed,B,https://myschool.ng/classroom/physics/58780?exam_type=waec&exam_year=2019&type=obj&page=1
2019,1,3,objective,,,,"In an elastic collision, momentum is conserved as well as well as?",velocity,kinetic energy,potential energy,speed,B,https://myschool.ng/classroom/physics/58783?exam_type=waec&exam_year=2019&type=obj&page=1
2019,1,4,objective,,,,The induced current in a coil always flows in a direction so as to oppose the change that causes it. This statement is known as,Coulomb's law,Lenz's law,Faraday's law,Ampere's law,B,https://myschool.ng/classroom/physics/58785?exam_type=waec&exam_year=2019&type=obj&page=1
2019,1,5,theory,,,,Which of the following instruments can be used to compare the magnitudes of charges on two given bodies?,Electrophorus,Ebonite rod,Gold-leaf electroscope,Proof planes,C,https://myschool.ng/classroom/physics/58787?exam_type=waec&exam_year=2019&type=obj&page=1
2019,2,6,calculation,,,,A body of mass 2 kg is released from a point 100 m above the ground. Calculate its kinetic energy 80m from the point of release.,1600 J,900 J,600 J,200 J,A,https://myschool.ng/classroom/physics/58793?exam_type=waec&exam_year=2019&type=obj&page=2
2019,2,7,objective,,,,Which of the following waves is not mechanical?,Waves in pipes,Water waves,Radio waves,Sound waves,C,https://myschool.ng/classroom/physics/58800?exam_type=waec&exam_year=2019&type=obj&page=2
2019,2,8,objective,,,,A loaded spring is set in simple harmonic motion. The force that tends to restore the load to its equilibrium position is,adhesive,elastic,frictional,gravitational,B,https://myschool.ng/classroom/physics/58801?exam_type=waec&exam_year=2019&type=obj&page=2
2019,2,9,objective,,,,Which of the following cases cannot produce total internal reflection? A light ray travelling from,glass to water,kerosene to air,air to water,water to ice,C,https://myschool.ng/classroom/physics/58805?exam_type=waec&exam_year=2019&type=obj&page=2
2019,2,10,objective,,,,The vacuum in a thermoflask reduces heat loss resulting from,radiation only,conduction and convection only,radiation and convection only,conduction only,B,https://myschool.ng/classroom/physics/58807?exam_type=waec&exam_year=2019&type=obj&page=2
2019,3,11,diagram-based,,,https://myschool.ng/storage/classroom/jco5oakze2n0iPeCZ3bELmiiqumkVTlUToSKRPGP.jpeg,The diagram above represents an experimental set-up for verifying?,lens formula,refraction laws,reflection laws,mirror formula,A,https://myschool.ng/classroom/physics/58810?exam_type=waec&exam_year=2019&type=obj&page=3
2019,3,12,objective,,,,Which of the following statements about a moving object is correct?,"When accelerating, the resultant force acting on it must be equal to zero.",There must always be a non-zero resultant force acting on it.,"At a steady velocity, the resultant force acting on it must be equal to zero","At a steady velocity, the air resistance must be equal to zero.",C,https://myschool.ng/classroom/physics/58822?exam_type=waec&exam_year=2019&type=obj&page=3
2019,3,13,objective,,,,"If the efficiency of a transformer is 100%, which of the following equations would be correct?",N\(_p\)E\(_p\) = N\(_s\)E\(_s\),N\(_s\)I\(_p\)= N\(_p\)I\(_s\),N\(_s\)I\(_s\) = N\(_p\)I\(_p\),I\(_p\)E\(_s\) = I\(_s\)E\(_p\),D,https://myschool.ng/classroom/physics/58844?exam_type=waec&exam_year=2019&type=obj&page=3
2019,3,14,objective,,,,A freshly demagnetized bar magnet is placed in the East-West direction to ensure that,the molecular magnets remain randomly arranged.,the molecular magnets are properly aligned,it is affected by the earth's magnetic field,the magnetic domains are within the earth's field,A,https://myschool.ng/classroom/physics/58845?exam_type=waec&exam_year=2019&type=obj&page=3
2019,3,15,diagram-based,,,https://myschool.ng/storage/classroom/w18DDHadcEWdg6OqI3Tr1YkmwZKA71PPTpPKiJEk.png,Which of the following graphs above of a charge Q against potential difference V across the capacitor is correct?,A,B,C,D,B,https://myschool.ng/classroom/physics/58847?exam_type=waec&exam_year=2019&type=obj&page=3
2019,4,16,objective,,,,A small amount of air is introduced into the vacuum above the mercury in a mercury barometer tube. The mercury level goes down because the air molecules,heat the mercury and make it expand,increase the pressure above the mercury.,cool the mercury and make it contract.,decrease the pressure above the mercury,B,https://myschool.ng/classroom/physics/58848?exam_type=waec&exam_year=2019&type=obj&page=4
2019,4,17,calculation,,,,Calculate the quantity of heat needed to change the temperature of 60g of ice at 0 °C to 80 °C. [specific latent heat of fusion of ice= 3.36 x 10\(^5\) Jkg\(^{-1}\) specific heat capacity of water 4.2 x 10\(^3\) J kg\(^{-1}\) K\(^{-1}\)],4.80 kJ,20.16 kJ,40.32 kJ,22.17 kJ,C,https://myschool.ng/classroom/physics/58857?exam_type=waec&exam_year=2019&type=obj&page=4
2019,4,18,calculation,,,,The wire of a platinum resistance thermometer has d resistance of 3.5\(\Omega\) at 0 °C and 10.52\(\Omega\) at 100°C. Calculate the temperature of the wire when its resistance is 7.5\(\Omega\).,78 °C,25 \(^o\)C,30\(^o\)C,57 \(^o\)C,D,https://myschool.ng/classroom/physics/58861?exam_type=waec&exam_year=2019&type=obj&page=4
2019,4,19,calculation,,,,A transverse pulse of frequency 9 Hz traves 4.5m in 0.6 s. Calculate the wavelength of the pulse.,3.33 m,0.30 m,0.83 m,1.20 m,C,https://myschool.ng/classroom/physics/58863?exam_type=waec&exam_year=2019&type=obj&page=4
2019,4,20,objective,,,,In which of the following media is the speed of sound the least?,Air,Brass,Water,Wood,A,https://myschool.ng/classroom/physics/58885?exam_type=waec&exam_year=2019&type=obj&page=4
2019,5,21,objective,,,,Which of the following characteristics of waves can a ripple tank be used to demonstrate? I. Reflection II. Refraction III. Diffraction,"I, II and Ill",ll and ll only,l and lII only,I and II only,A,https://myschool.ng/classroom/physics/58888?exam_type=waec&exam_year=2019&type=obj&page=5
