Year,Page,Question_Number,Question_Type,Instruction,Comprehension_Passage,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2024,1,1,objective,,,,The ultimate source of power and authority which sets the state apart from other forms of political organisations is referred to as,constitutionalism,checks and balances,rule of law,sovereignty,D,https://myschool.ng/classroom/government/71814?exam_type=waec&exam_year=2024&type=obj&page=1
2024,1,2,objective,,,,The institution through which leaders exercise power to make and enforce laws is the,government,judiciary,political party,security agency,A,https://myschool.ng/classroom/government/71815?exam_type=waec&exam_year=2024&type=obj&page=1
2024,1,3,objective,,,,The fundamental principles by which a state is ordered and governed are usually outlined in a,bill,constitution,parliamentary proceedings,state manual,B,https://myschool.ng/classroom/government/71816?exam_type=waec&exam_year=2024&type=obj&page=1
2024,1,4,objective,,,,Which one among the following factors greatly restrains the government in a democratic society?,Consent of the governed,Consent of the civil society organisation,Ideology of the party,Parliamentary debates,A,https://myschool.ng/classroom/government/71817?exam_type=waec&exam_year=2024&type=obj&page=1
2024,1,5,objective,,,,The following factors are challenges faced by the judiciary under the doctrine of Separation of Powers except,appointment of judges,financial autonomy,removal of judges from office,poor legal infrastructure,D,https://myschool.ng/classroom/government/71818?exam_type=waec&exam_year=2024&type=obj&page=1
2024,2,6,constitution,,,,Accountability in constitutional democracy is best enforced through a system of,checks and balances,civil society organisations,subversion of the law,selection of the right leaders,A,https://myschool.ng/classroom/government/71819?exam_type=waec&exam_year=2024&type=obj&page=2
2024,2,7,practical,,,,The application of the common principles that are important to improve decision-making processes and ultimately strengthen democracy and improve social and economic development is best described as,fundamental human rights,good governance,separation of powers,social democracy,B,https://myschool.ng/classroom/government/71820?exam_type=waec&exam_year=2024&type=obj&page=2
2024,2,8,objective,,,,One of the reasons for having two legislative chambers in the governance structure of a country is to ensure the,executive is kept under check and control,powers of the lower chamber is suppressed,strict control of the affairs of the state,thorough scrutiny of legislation,D,https://myschool.ng/classroom/government/71821?exam_type=waec&exam_year=2024&type=obj&page=2
2024,2,9,objective,,,,Which one of the following factors has contributed largely to the weakened and poor performance of state institutions in most West African States?,corruption,globalisation,low remuneration and wages,weak institutional memory,A,https://myschool.ng/classroom/government/71833?exam_type=waec&exam_year=2024&type=obj&page=2
2024,2,10,objective,,,,One of the paramount roles to play as a citizen in sustaining the democratic system of governance is to,avoid criticism of government,play the partisan card,pray for a good leader,register and vote in elections,D,https://myschool.ng/classroom/government/71835?exam_type=waec&exam_year=2024&type=obj&page=2
