Year,Page,Question_Number,Question_Type,Instruction,Passage,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2020,1,1,objective,,,,A situation where an audience is aware of an action a character is ignorant of is ________,dramatic irony,comic relief,aside,satire,A,https://myschool.ng/classroom/literature-in-english/58605?exam_type=waec&exam_year=2020&type=obj&page=1
2020,1,2,objective,,,,A fictional prose which is neither a novel nor a short story is a/an __________,allegory,fable,novella,novelette,C,https://myschool.ng/classroom/literature-in-english/58606?exam_type=waec&exam_year=2020&type=obj&page=1
2020,1,3,objective,,,,Condensed use of language is a dominant feature of ___________,comedy,poetry,prose,tragedy,B,https://myschool.ng/classroom/literature-in-english/58607?exam_type=waec&exam_year=2020&type=obj&page=1
2020,1,4,objective,,,,The sudden reversal of a character's fortune in a literary work is _________,denouement,hamartia,hubris,peripeteia,D,https://myschool.ng/classroom/literature-in-english/58611?exam_type=waec&exam_year=2020&type=obj&page=1
2020,1,5,objective,,,,The underlined words illustrate ________,hyperbole,irony,metonymy,paradox,A,https://myschool.ng/classroom/literature-in-english/58647?exam_type=waec&exam_year=2020&type=obj&page=1
2020,2,6,objective,,,,*hands* and *feet* in line 4 illustrate _________,contrast,litotes,personification,synecdoche,D,https://myschool.ng/classroom/literature-in-english/58651?exam_type=waec&exam_year=2020&type=obj&page=2
2020,2,7,objective,,,,His pen was like the breath of life exemplifies ________,bathos,pathos,satire,simile,D,https://myschool.ng/classroom/literature-in-english/58653?exam_type=waec&exam_year=2020&type=obj&page=2
2020,2,8,objective,,,,Comic relief occurs in ________,comedies,pastorals,romance,tragedies,D,https://myschool.ng/classroom/literature-in-english/58654?exam_type=waec&exam_year=2020&type=obj&page=2
2020,2,9,passage-based,,,,Students rarely read Julius Caesar these days illustrates ________,caesura,eponym,oxymoron,zeugma,B,https://myschool.ng/classroom/literature-in-english/58657?exam_type=waec&exam_year=2020&type=obj&page=2
2020,2,10,objective,,,,"In Literature, the term poetic justice applies to __________",a story that ends well,characters that are spared death,the development of a good plot,the rewarding of good characters and the punishing of bad ones.,D,https://myschool.ng/classroom/literature-in-english/58659?exam_type=waec&exam_year=2020&type=obj&page=2
2020,3,11,objective,,,,"Ascribing human moods to nature, as in a playful-breeze illustrates _________",humour,pathetic fallacy,symbolism,zeugma,B,https://myschool.ng/classroom/literature-in-english/58663?exam_type=waec&exam_year=2020&type=obj&page=3
2020,3,12,objective,,,,The end of a performance is followed by ________,a curtain call,a curtain raiser,epilogue,interlude,A,https://myschool.ng/classroom/literature-in-english/58668?exam_type=waec&exam_year=2020&type=obj&page=3
2020,3,13,passage-based,,,,Read the lines and answer the question: The underlined words illustrate: Marching _along_ fifty score _strong_ Great hearted gentlemen singing this _song_,assonance,consonance,onomatopoeia,repetition,A,https://myschool.ng/classroom/literature-in-english/58672?exam_type=waec&exam_year=2020&type=obj&page=3
2020,3,14,objective,,,,A short poem with a witty or sarcastic ending is a/an __________,ballad,allegory,epigram,panegyric,C,https://myschool.ng/classroom/literature-in-english/58676?exam_type=waec&exam_year=2020&type=obj&page=3
2020,3,15,objective,,,,The big boulder blasted the house illustrates _________,alliteration,contrast,irony,paradox,A,https://myschool.ng/classroom/literature-in-english/58677?exam_type=waec&exam_year=2020&type=obj&page=3
2020,4,16,objective,,,,The dominant literary device used in the lines is ________,euphemism,hyperbole,paradox,understatement,C,https://myschool.ng/classroom/literature-in-english/58678?exam_type=waec&exam_year=2020&type=obj&page=4
2020,4,17,objective,,,,I find no peace and all my war is done I fear and hope. I burn and freeze like ice. The feeling of the narrator in the extract is to one of ________,Confusion,fatigue,love,joy,A,https://myschool.ng/classroom/literature-in-english/58681?exam_type=waec&exam_year=2020&type=obj&page=4
2020,4,18,objective,,,,Which of the following is written by an African playwright?,She Stoops to Conquer,A Raisin in the Sun,Lonely Days,The Blood of a stranger,D,https://myschool.ng/classroom/literature-in-english/58683?exam_type=waec&exam_year=2020&type=obj&page=4
2020,4,19,objective,,,,Which of the following is written by a Non-African poet?,Piano and Drums,The Dining Table,The Schoolboy,The Panic of Growing Older,C,https://myschool.ng/classroom/literature-in-english/58684?exam_type=waec&exam_year=2020&type=obj&page=4
2020,4,20,passage-based,,,,The most suitable title for the passage is ________,A Savage Struggle at Night,At Sea on a Stormy Night.,The Long Heaving Waves,The Million Voices in the Sea,B,https://myschool.ng/classroom/literature-in-english/58687?exam_type=waec&exam_year=2020&type=obj&page=4
