Year,Page,Question_Number,Question_Type,Instruction,Diagram_Context,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2023,1,1,advanced-algebra,,,,"Calculate, correct to one decimal place, the angle between 5 i + 12 j and -2 i + 3 j",56.3º,76.3º,66.4º,54.8º,A,https://myschool.ng/classroom/further-mathematics/68814?exam_type=waec&exam_year=2023&type=obj&page=1
2023,1,2,advanced-algebra,,,,"Find the equation of the normal to the curve y = \(3x^2 + 2\) at point (1, 5).",6y - x - 29 = 0,6y + x - 31 = 0,y - 6x - 1 = 0,y - 6x + 1 = 0,B,https://myschool.ng/classroom/further-mathematics/68855?exam_type=waec&exam_year=2023&type=obj&page=1
2023,1,3,mechanics,,,,The distance S metres moved by a body in t seconds is given by \(S = 5t^3 - \frac{19}{2} t^2 + 6t - 4\). Calculate the acceleration of the body after 2 seconds,19 \(ms ^{-2}\),21 \(ms ^{-2}\),41 \(ms ^{-2}\),31 \(ms ^{-2}\),C,https://myschool.ng/classroom/further-mathematics/68866?exam_type=waec&exam_year=2023&type=obj&page=1
2023,1,4,advanced-algebra,,,,Evaluate \(\int^1_0 x(x^2-2)^2 dx\),\(\frac{6}{7}\),\(1\frac{1}{6}\),\(\frac{1}{7}\),\(3\frac{1}{6}\),B,https://myschool.ng/classroom/further-mathematics/68887?exam_type=waec&exam_year=2023&type=obj&page=1
2023,1,5,advanced-algebra,,,,"Given that \(sin x = \frac{4}{5}\) and \(cos y = \frac{12}{13}\), where x is an obtuse angle and y is an acute angle, find the value of sin (x - y).",\(\frac{63}{65}\),\(\frac{48}{65}\),\(\frac{56}{65}\),\(\frac{16}{65}\),A,https://myschool.ng/classroom/further-mathematics/68890?exam_type=waec&exam_year=2023&type=obj&page=1
2023,2,6,advanced-algebra,,,,If\((\frac{1}{9})^{2x-1} = (\frac{1}{81})^{2-3x}\)find the value of x,\(-\frac{5}{8}\),\(-\frac{3}{4}\),\(\frac{3}{4}\),\(\frac{5}{8}\),D,https://myschool.ng/classroom/further-mathematics/69039?exam_type=waec&exam_year=2023&type=obj&page=2
2023,2,7,advanced-algebra,,,,"The table shows the operation * on the set {x, y, z, w}. *XYZWXYZXWYZWYXZXYZWWWXWZ Find the identity of the element.",W,Y,Z,X,C,https://myschool.ng/classroom/further-mathematics/69046?exam_type=waec&exam_year=2023&type=obj&page=2
2023,2,8,advanced-algebra,,,,Find the radius of the circle \(2x^2 + 2y^2 - 4x + 5y + 1 = 0\),\(\frac{\sqrt33}{4}\),\(\frac{\sqrt5}{6}\),\(\frac{5}{6}\),\(\frac{33}{4}\),A,https://myschool.ng/classroom/further-mathematics/69072?exam_type=waec&exam_year=2023&type=obj&page=2
2023,2,9,advanced-algebra,,,,"Given that M is the midpoint of T (2, 4) and Q (-8, 6), find the length of MQ .",\(√26 units\),\(√28 units\),\(√24 units\),\(√30 units\),A,https://myschool.ng/classroom/further-mathematics/69073?exam_type=waec&exam_year=2023&type=obj&page=2
2023,2,10,mechanics,,,,A particle began to move at \(27 ms^{-1}\) along a straight line with constant retardation of \(9 ms^{-2}\). Calculate the time it took the particle to come to a stop.,3 sec,2 sec,4 sec,1 sec,A,https://myschool.ng/classroom/further-mathematics/69075?exam_type=waec&exam_year=2023&type=obj&page=2
2023,3,11,sequences-series,,,,Find the **fifth term** in the binomial expansion of \((q + x)^7\).,\(21q^2x^5\),\(21q^4x^3\),\(35q^3x^4\),\(35q^5x^2\),C,https://myschool.ng/classroom/further-mathematics/69095?exam_type=waec&exam_year=2023&type=obj&page=3
2023,3,12,advanced-algebra,,,,"Given that P = {x : 2 ≤ x ≤ 8} and Q = {x : 4 < x ≤ 12} are subsets of the universal set μ = {x : x ∈ R}, find (P ⋂ Q\(^1\)).",{x : 4 < x < 8},{x : 2 < x ≤ 4},{x : 2 ≤ x ≤ 4},{x : 4 ≤ x ≤ 8},C,https://myschool.ng/classroom/further-mathematics/69096?exam_type=waec&exam_year=2023&type=obj&page=3
2023,3,13,advanced-algebra,,,,Consider the statements: x: The school bus arrived late y: The student walked down to school Which of the following can be represented by y ⇒ x?,The school bus arrived early and Kate ran to school,Mary walked to school because the school bus arrived late,Either the school bus arrived late or Maryam walked to school,Emmanuella did not go to school because the school bus arrived late,B,https://myschool.ng/classroom/further-mathematics/69097?exam_type=waec&exam_year=2023&type=obj&page=3
2023,3,14,calculus,,,,\(Differentiate f (x) = \frac{1}{(1 - x^2)^5}\) with respect to \(x\).,\(\frac{-5x}{(1-x^2)^6}\),\(\frac{-10x}{(1-x^2)^6}\),\(\frac{5x}{(1-x^2)^6}\),\(\frac{10x}{(1-x^2)^6}\),D,https://myschool.ng/classroom/further-mathematics/69098?exam_type=waec&exam_year=2023&type=obj&page=3
2023,3,15,advanced-algebra,,,,Express \(\frac{3}{3 - √6}\) in the form \(x + m√y\),3 - 3 √6,3 + 3√6,3 + √6,3 - √6,C,https://myschool.ng/classroom/further-mathematics/69100?exam_type=waec&exam_year=2023&type=obj&page=3
2023,4,16,advanced-algebra,,,,"The table shows the mark obtained by students in a test. Marks12345Frequency2k112 If the mean mark is 3, find the value of k.",4,1,2,3,B,https://myschool.ng/classroom/further-mathematics/69102?exam_type=waec&exam_year=2023&type=obj&page=4
2023,4,17,advanced-algebra,,,,\(Simplify: \frac{log √27 - log √8}{log 3 - log 2}\),\(\frac{3}{2}\),-\(\frac{1}{4}\),-\(\frac{3}{2}\),\(\frac{1}{4}\),A,https://myschool.ng/classroom/further-mathematics/69105?exam_type=waec&exam_year=2023&type=obj&page=4
2023,4,18,advanced-algebra,,,,"Given that r = (10 N , 200º) and n = (16 N , 020º), find (3r - 2n).","(62 N , 240º)","(62 N , 200º)","(62 N , 280º)","(62 N , 020º)",D,https://myschool.ng/classroom/further-mathematics/69107?exam_type=waec&exam_year=2023&type=obj&page=4
2023,4,19,advanced-algebra,,,,"Solve 6 sin 2θ tan θ = 4, where 0º < θ < 90º",18.43º,30.00º,35.26º,19.47º,C,https://myschool.ng/classroom/further-mathematics/69109?exam_type=waec&exam_year=2023&type=obj&page=4
2023,4,20,sequences-series,,,,"An exponential sequence (G.P.) is given by 8√2, 16√2, 32√2, ... . Find the n\(^{th}\) term of the sequence",\(8\sqrt2^n\),\(2^{(n+2)}\sqrt2\),\(\sqrt2^{(n+3)}\),\(8n\sqrt2\),B,https://myschool.ng/classroom/further-mathematics/69112?exam_type=waec&exam_year=2023&type=obj&page=4
2023,5,21,advanced-algebra,,,,"If \(f : x → 2 tan x\) and \(g : x → √(x^2 + 8), find ( g o f )(45^o)\)",4,2√3,6,3√2,B,https://myschool.ng/classroom/further-mathematics/69113?exam_type=waec&exam_year=2023&type=obj&page=5
2023,5,22,advanced-algebra,,,,"A uniform beam PQ of length 80 cm and weight 60 N rests on a support at X where | PX | = 30 cm. If the body is kept in equilibrium by a mass m kg which is placed at P , calculate the value of m [Take g = 10 ms\(^{-2}\)]",2.0,3.0,2.5,4.0,A,https://myschool.ng/classroom/further-mathematics/69118?exam_type=waec&exam_year=2023&type=obj&page=5
2023,5,23,sequences-series,,,,"An exponential sequence (G.P.) is given by \(\frac{9}{2},\frac{3}{4},\frac{1}{8},\)....Find its sum to infinity.",\(5\frac{2}{5}\),\(4\frac{1}{5}\),\(13\frac{1}{2}\),\(6\frac{3}{4}\),A,https://myschool.ng/classroom/further-mathematics/69127?exam_type=waec&exam_year=2023&type=obj&page=5
2023,5,24,statistics-probability,,,,"Adu's scores in **five** subjects in an examination are **85** , **84** , **83** , **86** and **87** . Calculate the standard deviation.",2.0,1.4,1.8,1.6,B,https://myschool.ng/classroom/further-mathematics/69132?exam_type=waec&exam_year=2023&type=obj&page=5
2023,5,25,advanced-algebra,,,,In how many ways can a committee of 3 women and 2 men be chosen from a group of 7 men and 5 women?,500,350,720,210,D,https://myschool.ng/classroom/further-mathematics/69151?exam_type=waec&exam_year=2023&type=obj&page=5
