Year,Page,Question_Number,Question_Type,Instruction,Comprehension_Passage,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2018,1,1,objective,,,,A document through which invitation is extended to the public to subscribe to shares is?,article of association,memorandum of association,prospectus,qoutation,C,https://myschool.ng/classroom/commerce/48537?exam_type=waec&exam_year=2018&type=obj&page=1
2018,1,2,objective,,,,Activities which fascilitates commerce include,engaging youths in environmental sanitation,funding political campaigns,providing recreational facilities,improving road network,D,https://myschool.ng/classroom/commerce/48540?exam_type=waec&exam_year=2018&type=obj&page=1
2018,1,3,objective,,,,A person authorized to sell the property of a company in a winding up is,an auctioneer,an agent,a liquidator,a bailee,C,https://myschool.ng/classroom/commerce/48543?exam_type=waec&exam_year=2018&type=obj&page=1
2018,1,4,practical,,,,one example of of a product of a construction industry is a,chair,bag of cement,piece of cloth,television,A,https://myschool.ng/classroom/commerce/48545?exam_type=waec&exam_year=2018&type=obj&page=1
2018,1,5,objective,,,,one disadvantage of a sole proprietorship is?,quick decision making,unlimited liability,pride of ownership,unlimited source of capital,B,https://myschool.ng/classroom/commerce/48547?exam_type=waec&exam_year=2018&type=obj&page=1
2018,2,6,objective,,,,which of the following is a source of short term finance,hire purchase,overdraft,lease,debenture,B,https://myschool.ng/classroom/commerce/48551?exam_type=waec&exam_year=2018&type=obj&page=2
2018,2,7,objective,,,,The portion of share capital which the company has asked shareholder to pay is?,called-up capital,authorized capital,paid-up capital,unpaid capital,A,https://myschool.ng/classroom/commerce/48556?exam_type=waec&exam_year=2018&type=obj&page=2
2018,2,8,objective,,,,multilateral trade is carried out,between two countries only,within many countries,among many countries,between neighbouring countries only,C,https://myschool.ng/classroom/commerce/48561?exam_type=waec&exam_year=2018&type=obj&page=2
2018,2,9,objective,,,,An association of businesses engaged in both trade and industry is a?,co-operative society,trade union,trust fund,chamber of commerce,D,https://myschool.ng/classroom/commerce/48562?exam_type=waec&exam_year=2018&type=obj&page=2
2018,2,10,objective,,,,which of the following statement is true of a debenture?,its holders receive interest,it forms part of a company's authorized capital,its owners are co-owners of the company,its owners control the company,A,https://myschool.ng/classroom/commerce/48563?exam_type=waec&exam_year=2018&type=obj&page=2
2018,3,11,objective,,,,The path through which a product moves from the manufacturer to the consumer is a?,channel of communication,line of production,means of transportation,channel of distribution,D,https://myschool.ng/classroom/commerce/48578?exam_type=waec&exam_year=2018&type=obj&page=3
2018,3,12,objective,,,,"If the opening stock of Ali ltd is N40,000, the cost of goods sold is N48,000 and the closing stock is N24,000, its rate of turnover will be?",1.2 times,1.5 times,2.0 times,7.5 times,B,https://myschool.ng/classroom/commerce/48590?exam_type=waec&exam_year=2018&type=obj&page=3
2018,3,13,objective,,,,A business which requires a certificate of trading in order to commence operation is a?,co-operative society,private company,sole propietorship,public company,D,https://myschool.ng/classroom/commerce/48594?exam_type=waec&exam_year=2018&type=obj&page=3
2018,3,14,objective,,,,Exchange of goods in international market which does not involve the use of money is a,barter trade,entreport trade,counter trade,bilateral trade,C,https://myschool.ng/classroom/commerce/48596?exam_type=waec&exam_year=2018&type=obj&page=3
2018,3,15,objective,,,,which of the following features is not associated with a chamber of commerce? it is,democratically administered,an independent association,open only to entrepreneurs,a voluntary association,A,https://myschool.ng/classroom/commerce/48608?exam_type=waec&exam_year=2018&type=obj&page=3
