Year,Page,Question_Number,Question_Type,Instruction,Diagram_Context,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2022,1,1,diagram-based,,,https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png,The by-product of fermentation of sugar is,carbon(IV) oxide.,ethanoic acid.,propanol,"propan-1, 2, 3- triol.",A,https://myschool.ng/classroom/chemistry/65791?exam_type=waec&exam_year=2022&type=obj&page=1
2022,1,2,diagram-based,,,https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png,Which of the following sugars is a product of the condensation of monosaccharides?,galactose,maltose,glucose,fructose,B,https://myschool.ng/classroom/chemistry/65792?exam_type=waec&exam_year=2022&type=obj&page=1
2022,1,3,diagram-based,,,https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png,The cleansing effect of soap is low in acidic water because of,the formation of unionized fatty acid.,increase in the pH of the soap molecules.,anti-biodegradable effect of hydrogen ions,the hardness of the acidic water.,A,https://myschool.ng/classroom/chemistry/65793?exam_type=waec&exam_year=2022&type=obj&page=1
2022,1,4,diagram-based,,,https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png,The following compounds are condensation polymers except,nylon,protein,starch,polyethene,D,https://myschool.ng/classroom/chemistry/65794?exam_type=waec&exam_year=2022&type=obj&page=1
2022,1,5,diagram-based,,,https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png,What amount of electricity is required to deposit one mole of aluminium from a solution of AlCl3?,One Faraday,One ampere,Three Faradays,Three amperes,C,https://myschool.ng/classroom/chemistry/65795?exam_type=waec&exam_year=2022&type=obj&page=1
2022,2,6,diagram-based,,,https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png,Which of the following compounds would react rapidly with bromine?,Benzene,Hexane,Hexene,Hexanol,C,https://myschool.ng/classroom/chemistry/65796?exam_type=waec&exam_year=2022&type=obj&page=2
2022,2,7,diagram-based,,,https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png,Alkanols can be manufactured from alkenes by the initial reaction of alkenes with,bromine in tetrachloromethane,concentrated tetraoxosulphate(VI) acid,aqueous potassium tetraoxomanganate(VII).,sodium hydroxide solution.,B,https://myschool.ng/classroom/chemistry/65797?exam_type=waec&exam_year=2022&type=obj&page=2
2022,2,8,diagram-based,,,https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png,Which of the following statements about the standard hydrogen electrode is not correct?,The hydrogen gas is at a pressure of 1 atmosphere,A solution containing 1 mol dm-3 of H+ (aq) ions is used,A platinum electrode is used,The temperature is kept at 20 °C,D,https://myschool.ng/classroom/chemistry/65798?exam_type=waec&exam_year=2022&type=obj&page=2
2022,2,9,diagram-based,,,https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png,"If 60 g of M combines with 24 g of oxygen, what would the empirical formula of the oxide be? ( molar mass of M = 120, O = 16)",MO,MO\(_{2}\),MO\(_{3}\),MO\(_{4}\),C,https://myschool.ng/classroom/chemistry/65799?exam_type=waec&exam_year=2022&type=obj&page=2
2022,2,10,diagram-based,,,https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png,The products of the electrolysis of dilute sodium chloride using carbon electrodes are Anode Cathode,chlorine and sodium.,oxygen and hydrogen.,chlorine and hydrogen.,hydrogen and oxygen.,B,https://myschool.ng/classroom/chemistry/65800?exam_type=waec&exam_year=2022&type=obj&page=2
