Year,Page,Question_Number,Question_Type,Instruction,Comprehension_Passage,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2015,1,1,objective,,,,The most visible feature of a state is,compulsory membership,defined geographical territory,written constitution,sovereign power,D,https://myschool.ng/classroom/government/45795?exam_type=waec&exam_year=2015&type=obj&page=1
2015,1,2,objective,,,,Representative democracy is characterized by,free election and proper register of voters,a politically educated elite,representation of the poor only,rule of the interest groups,A,https://myschool.ng/classroom/government/45796?exam_type=waec&exam_year=2015&type=obj&page=1
2015,1,3,objective,,,,The set of attitudes and beliefs that determine the behaviour of citizens in a political system is called,socialization,political culture,representative government,devolution,B,https://myschool.ng/classroom/government/45798?exam_type=waec&exam_year=2015&type=obj&page=1
2015,1,4,objective,,,,The set of attitudes and beliefs that determine the behaviour of citizens in a political system is called,socialization,political culture,representative government,devolution,B,https://myschool.ng/classroom/government/45801?exam_type=waec&exam_year=2015&type=obj&page=1
2015,1,5,constitution,,,,Fundamental Human Rights are entrenched in constitutions purposely to,ensure freedom of speech,guarantee the liberty of citizens,promote good governance,promote trade,B,https://myschool.ng/classroom/government/45802?exam_type=waec&exam_year=2015&type=obj&page=1
2015,2,6,objective,,,,Diplomatic and parliamentary immunities put limitations on,the rule of law,separation of powers,checks and balances,foreign policies,A,https://myschool.ng/classroom/government/45803?exam_type=waec&exam_year=2015&type=obj&page=2
2015,2,7,objective,,,,Montesquieu's political theory of separation of powers was meant to,promote unity in government,prevent dictatorial rule,ensure social justice,enhance state security,B,https://myschool.ng/classroom/government/45804?exam_type=waec&exam_year=2015&type=obj&page=2
2015,2,8,objective,,,,Which of the following countries practices a centralized system of government?,Nigeria,Ghana,USA,India,B,https://myschool.ng/classroom/government/45805?exam_type=waec&exam_year=2015&type=obj&page=2
2015,2,9,constitution,,,,Which of the following countries operates unwritten constitution?,Britain,USA,Japan,Canada,A,https://myschool.ng/classroom/government/45806?exam_type=waec&exam_year=2015&type=obj&page=2
2015,2,10,constitution,,,,A constitution that can be amended through ordinary law making process is said to be,written,unwritten,rigid,flexible,D,https://myschool.ng/classroom/government/45807?exam_type=waec&exam_year=2015&type=obj&page=2
2015,3,11,objective,,,,Which of the following systems of government operates on the checks and balances?,Theocracy,Presidential,Parliamentary,Monarchical,B,https://myschool.ng/classroom/government/45808?exam_type=waec&exam_year=2015&type=obj&page=3
2015,3,12,objective,,,,Confederal systems of government means,powerful centre and weak component units,weak centre and powerful component units,powerful centre and powerful component units,weak component units and weak centre,B,https://myschool.ng/classroom/government/45812?exam_type=waec&exam_year=2015&type=obj&page=3
2015,3,13,objective,,,,"In a federal system of government, the power shared between the Centre and state governments is known as",legislative power,exclusive power,concurrent power,judicial power,C,https://myschool.ng/classroom/government/45813?exam_type=waec&exam_year=2015&type=obj&page=3
2015,3,14,objective,,,,The prerogative power resides with the,ombudsman,executive,national assembly,civil organization,B,https://myschool.ng/classroom/government/45814?exam_type=waec&exam_year=2015&type=obj&page=3
2015,3,15,objective,,,,Quick decision making is an advantage of,unicameralism,constitutionalism,federalism,republicanism,A,https://myschool.ng/classroom/government/45815?exam_type=waec&exam_year=2015&type=obj&page=3
2015,4,16,objective,,,,The organ of government responsible for implementation of polices in a state is the,legislature,judiciary,executive,public bureau,C,https://myschool.ng/classroom/government/45816?exam_type=waec&exam_year=2015&type=obj&page=4
2015,4,17,objective,,,,A citizen is an individual who,has the legal and political rights in a country,has lived in a country for sometime,enjoys only economic rights,enjoys immunity in the country,A,https://myschool.ng/classroom/government/45830?exam_type=waec&exam_year=2015&type=obj&page=4
2015,4,18,objective,,,,Which of the following is a condition for granting citizenship to a foreigner?,Swearing an oath of allegiance,Possession of a university degree,A registered member of a political party,Possession of an international passport,A,https://myschool.ng/classroom/government/45842?exam_type=waec&exam_year=2015&type=obj&page=4
2015,4,19,objective,,,,Citizenship can be acquired through all of the following methods except,birth,nationalization,naturalization,marriage,B,https://myschool.ng/classroom/government/45850?exam_type=waec&exam_year=2015&type=obj&page=4
2015,4,20,objective,,,,The conferment of citizenship on a distinguished personality of another country is called,citizenship by birth,honorary citizenship,adoption,citizenship by registration,B,https://myschool.ng/classroom/government/45854?exam_type=waec&exam_year=2015&type=obj&page=4
2015,5,21,objective,,,,The primary aim of any political party is to,pressurize the government,remain in the opposition,control the government,ensure fair play in business,C,https://myschool.ng/classroom/government/45856?exam_type=waec&exam_year=2015&type=obj&page=5
2015,5,22,theory,,,,A manifesto can be defined as the,opportunity to form a political party,proposed programmes of a political party,policy of a political party in power,power to rule the masses,B,https://myschool.ng/classroom/government/45857?exam_type=waec&exam_year=2015&type=obj&page=5
2015,5,23,objective,,,,Which of the following exists in a one - party state?,Only the workers party is allowed to exist,Only the students' party is allowed to exist,Elections to the legislature are held at the party's conference,The ruling party is the only legal party,D,https://myschool.ng/classroom/government/45858?exam_type=waec&exam_year=2015&type=obj&page=5
2015,5,24,objective,,,,Which of the following party systems best represents all shades of opinions?,Multi-party,Two -party,One- party,Elite- party,A,https://myschool.ng/classroom/government/45860?exam_type=waec&exam_year=2015&type=obj&page=5
2015,5,25,objective,,,,The practice of multi - party system in West Africa tends to promote,sectionalism and factionalism,national integration,social discrimination,economic integration,B,https://myschool.ng/classroom/government/45863?exam_type=waec&exam_year=2015&type=obj&page=5
2015,6,26,objective,,,,Franchise is the right to,express political views,control the government,vote and be voted for,ensure good governance,C,https://myschool.ng/classroom/government/45865?exam_type=waec&exam_year=2015&type=obj&page=6
2015,6,27,objective,,,,The following are the aims of an election except that,a group sticks on to power,there is accountability of the leaders,there is a smooth change of government,the people determine who rules,A,https://myschool.ng/classroom/government/45866?exam_type=waec&exam_year=2015&type=obj&page=6
2015,6,28,objective,,,,Politics is practically demonstrated during,electioneering campaigns,parliamentary debates,formation of political parties,inter-party consultative meetings,A,https://myschool.ng/classroom/government/45867?exam_type=waec&exam_year=2015&type=obj&page=6
2015,6,29,objective,,,,An election held to fill a vacant post in the legislature due to the death or resignation of a member is called,run-off election,electoral college,by-election,primary elections,C,https://myschool.ng/classroom/government/45868?exam_type=waec&exam_year=2015&type=obj&page=6
2015,6,30,objective,,,,Which of the following is a function of pressure groups?,Represent and protect the rich,Protect the interest of government,Serve as avenue for political victimization,Provide forum for the ventilation of grievances,D,https://myschool.ng/classroom/government/45869?exam_type=waec&exam_year=2015&type=obj&page=6
2015,7,31,theory,,,,Public opinion is defined as the,aggregate views of the people,sentiments of opposition parties,consensus of the mass media,reaction of pressure groups,A,https://myschool.ng/classroom/government/45874?exam_type=waec&exam_year=2015&type=obj&page=7
2015,7,32,objective,,,,Public opinion on the performance of a government is best measured by,military strength,general elections,the mass media,parliamentary debates,C,https://myschool.ng/classroom/government/45876?exam_type=waec&exam_year=2015&type=obj&page=7
2015,7,33,objective,,,,The method in which a group of people are interviewed on a specific political issue is called,referendum,individual speech,individual writing,opinion sampling,D,https://myschool.ng/classroom/government/45878?exam_type=waec&exam_year=2015&type=obj&page=7
2015,7,34,objective,,,,The Civil Service is an administrative institution of,the executive arm of government,Public corporations,Para - military organization,a business enterprise,A,https://myschool.ng/classroom/government/45883?exam_type=waec&exam_year=2015&type=obj&page=7
2015,7,35,objective,,,,Which of the following is a feature of the civil service?,Disloloyalty,Impartiality,Political activism,Temporary tenure,B,https://myschool.ng/classroom/government/45885?exam_type=waec&exam_year=2015&type=obj&page=7
2015,8,36,objective,,,,The major source of local government revenue is,donations,income from investments,loans from finance institutions,grants from the central authority,D,https://myschool.ng/classroom/government/45887?exam_type=waec&exam_year=2015&type=obj&page=8
2015,8,37,objective,,,,"In the pre -colonial African political system, the functions of the kingmakers were performed by",Age grades,Woman,Council of elders,Special people,A,https://myschool.ng/classroom/government/45889?exam_type=waec&exam_year=2015&type=obj&page=8
2015,8,38,theory,,,,Colonialism is defined as the,struggle against foreign domination,political struggle for independence,economic dependence on developed nations,imposition of foreign rule on a territory,D,https://myschool.ng/classroom/government/45892?exam_type=waec&exam_year=2015&type=obj&page=8
2015,8,39,objective,,,,'Casting vote' was one of the ways the Governor in British West Africa controlled the,Colonial treasurer,Colonial secretary,Native authority,Legislative council,D,https://myschool.ng/classroom/government/45894?exam_type=waec&exam_year=2015&type=obj&page=8
2015,8,40,objective,,,,The French policy of assimilation was based on the assumption that African culture was,expensive,inferror,unpopular,superior,B,https://myschool.ng/classroom/government/45896?exam_type=waec&exam_year=2015&type=obj&page=8
2015,9,41,objective,,,,The administrative structure adopted in the French colonial territories was,more of a centralized administration,focused mainly on traditional rulers,favourable to the African age grades,for the development of African culture,A,https://myschool.ng/classroom/government/45898?exam_type=waec&exam_year=2015&type=obj&page=9
2015,9,42,objective,,,,The Pan -African Movements emerged as a result of,African cultural heritage,European racial domination,the formation of the African Union,the growth of socialism in Europe,B,https://myschool.ng/classroom/government/45902?exam_type=waec&exam_year=2015&type=obj&page=9
2015,9,43,objective,,,,Which of the following was the first print media used by nationalists to oppose colonialism in the British West Africa?,Daily News,Daily Times,West African pilot,Guardian newspaper,C,https://myschool.ng/classroom/government/45925?exam_type=waec&exam_year=2015&type=obj&page=9
2015,9,44,objective,,,,One of the prominent West African nationalist leaders was,Kwane Nkrumah,Jomo Kenyatta,S. L. Akintola,Sekou Tource,A,https://myschool.ng/classroom/government/45943?exam_type=waec&exam_year=2015&type=obj&page=9
2015,9,45,objective,,,,Which of the following cannot be altered by a military coup d'etat? The,constitution,legal system,legislature,state,D,https://myschool.ng/classroom/government/45945?exam_type=waec&exam_year=2015&type=obj&page=9
2015,10,46,objective,,,,Laws promulgated by a military government are called,bills,acts,decress,proclamations,C,https://myschool.ng/classroom/government/45946?exam_type=waec&exam_year=2015&type=obj&page=10
2015,10,47,objective,,,,The origin of the Commonwealth of Nations can be traced to,colonial ties,world economic order,equality of states,sovereignty of states,A,https://myschool.ng/classroom/government/45947?exam_type=waec&exam_year=2015&type=obj&page=10
2015,10,48,objective,,,,The origin of the Commonwealth of Nations can be traced to,colonial ties,world economic order,equality of states,sovereignty of states,A,https://myschool.ng/classroom/government/45948?exam_type=waec&exam_year=2015&type=obj&page=10
2015,10,49,objective,,,,The first black African to hold the position of UN Secretary-General was,Salim Ahmed Salirn,Kofi Annan,Emeka Anyaoku,Nelson Mandela,B,https://myschool.ng/classroom/government/45949?exam_type=waec&exam_year=2015&type=obj&page=10
2015,10,50,objective,,,,The Secretary-General of the United Nations Organization (UNO) is appointed for a period of,there years,five years,Seven years,nine years,B,https://myschool.ng/classroom/government/45950?exam_type=waec&exam_year=2015&type=obj&page=10
2016,1,1,objective,,,,Government refers to all the following except,an academic field of study,an organized group of people that formulate policies,a process of making and enforcing laws,an institution made up of people with common interest,D,https://myschool.ng/classroom/government/45218?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,2,objective,,,,All the following are experienced by a community without government except,insecurity,planned development,lawlessness,political anarchy,B,https://myschool.ng/classroom/government/45219?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,3,objective,,,,As an academic field the study of government does not include,Political economy,Comparative politics,Public administration,Ecological interaction,D,https://myschool.ng/classroom/government/45220?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,4,objective,,,,Which of the following systems of government is authoritarian in nature?,Capitalist system,Fascism,Republicanism,Constitutional monarchy,B,https://myschool.ng/classroom/government/45222?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,5,objective,,,,The system that allows the opposition to participate in governance is,dictatorial,collectivism,aristocratic,democratic,D,https://myschool.ng/classroom/government/45224?exam_type=waec&exam_year=2016&type=obj&page=1
2016,2,6,objective,,,,Which of the following hinders the establishment of a representative government in a state?,Mass illiteracy,Existence of pressure groups,Vibrant political culture,Independent electoral commission,A,https://myschool.ng/classroom/government/45226?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,7,objective,,,,Which of the following is not an attribute of a state?,Definite territory,Population,Government,Common language,D,https://myschool.ng/classroom/government/45227?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,8,objective,,,,In a democracy political sovereignty is vested in the,judges,people,legislature,executive,B,https://myschool.ng/classroom/government/45229?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,9,objective,,,,"According to Charles Montesquieu, the theory of separation of powers is to prevent",influence,authority,power,arbitrariness,D,https://myschool.ng/classroom/government/45230?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,10,objective,,,,Decentralisation is a common feature of,totalitarian system of government,federal system of government,unitary system of government,fascist system,B,https://myschool.ng/classroom/government/45232?exam_type=waec&exam_year=2016&type=obj&page=2
