Year,Page,Question_Number,Question_Type,Instruction,Diagram_Context,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2016,1,1,general,,,,"If 23 x + 101 x = 130 x , find the value of x",7,6,5,4,D,https://myschool.ng/classroom/mathematics/46039?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,2,algebra,,,,Simplify: (\(\frac{3}{4} - \frac{2}{3}\)) x 1\(\frac{1}{5}\),\(\frac{1}{60}\),\(\frac{5}{72}\),\(\frac{1}{10}\),1\(\frac{7}{10}\),C,https://myschool.ng/classroom/mathematics/46042?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,3,algebra,,,,Simplify:(\(\frac{10\sqrt{3}}{\sqrt{5}} - \sqrt{15}\)) 2,75.00,15.00,8.66,3.87,B,https://myschool.ng/classroom/mathematics/46046?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,4,trigonometry,,,,"The distance, d, through which a stone falls from rest varies directly as the square of the time, t, taken. If the stone falls 45cm in 3 seconds, how far will it fall in 6 seconds?",90cm,135cm,180cm,225cm,C,https://myschool.ng/classroom/mathematics/46056?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,5,general,,,,"Which of following is a valid conclusion from the premise. ""Nigeria footballers are good footballers""?",Joseph plays football in Nigeria therefore he is a good footballer,Joseph is a good footballer therefore he is a Nigerian footballer,Joseph is a Nigerian footballer therefore he is a good footballer,Joseph plays good football therefore he is a Nigerian footballer,C,https://myschool.ng/classroom/mathematics/46076?exam_type=waec&exam_year=2016&type=obj&page=1
2016,2,6,geometry,,,,"On a map, 1cm represent 5km. Find the area on the map that represents 100km 2 .",2cm2,4cm2,8cm2,8cm2,B,https://myschool.ng/classroom/mathematics/46078?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,7,algebra,,,,Simplify; \(\frac{3^{n - 1} \times 27^{n + 1}}{81^{n}}\),32n,9,3n,3n + 1,B,https://myschool.ng/classroom/mathematics/46096?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,8,word-problem,,,,"What sum of money will amount to D10,400 in 5 years at 6% simple interest?","D8,000.00","D10,000.00","D12,000.00","D16,000.00",A,https://myschool.ng/classroom/mathematics/46097?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,9,algebra,,,,The roots of a quadratic equation are \(\frac{4}{3}\) and -\(\frac{3}{7}\). Find the equation,21x2- 19x - 12 = 0,21x2+ 37x - 12 = 0,21x2- x + 12 = 0,21x2+ 7x - 4 = 0,A,https://myschool.ng/classroom/mathematics/46098?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,10,algebra,,,,Find the values of y for which the expression \(\frac{y^2 - 9y + 18}{y^2 + 4y - 21}\) is undefined,"6, -7","3, -6","3, -7","-3, -7",C,https://myschool.ng/classroom/mathematics/46100?exam_type=waec&exam_year=2016&type=obj&page=2
