Year,Page,Question_Number,Question_Type,Instruction,Passage,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2018,1,1,objective,,,"*In the following sentence, there is an underlined word and one gap. From the list of words lettered A to D, choose the one that is most nearly opposite in meaning to the underlined word and that will at the same time, correctly fill the gap in the sentence.* Binetou's _inquisitiveness_ is in sharp contrast with her sister's",indifference,noisiness,calmness,dullness,A,https://myschool.ng/classroom/english-language/48332?exam_type=waec&exam_year=2018&type=obj&page=1
2018,1,2,objective,,,"**In the following sentence, there is an underlined word and one gap. From the list of words lettered A to D, choose the one that is most nearly opposite in meaning to the underlined word and that will at the same time, correctly fill the gap in the sentence.** Though at first it appeared an _insignificant_ idea, it turned out to be quite _________",outstanding,successful,remarkable,interesting,C,https://myschool.ng/classroom/english-language/48334?exam_type=waec&exam_year=2018&type=obj&page=1
2018,1,3,objective,,,"**In the following sentence, there is an underlined word and one gap. From the list of words lettered A to D, choose the one that is most nearly opposite in meaning to the underlined word and that will at the same time, correctly fill the gap in the sentence.** After grasping the _fundamental_ aspects of his job, Kwesi had to cope with more ________ procedures.",advanced,academic,subsidiary,secondary,A,https://myschool.ng/classroom/english-language/48336?exam_type=waec&exam_year=2018&type=obj&page=1
2018,1,4,objective,,,"**In the following sentence, there is an underlined word and one gap. From the list of words lettered A to D, choose the one that is most nearly opposite in meaning to the underlined word and that will at the same time, correctly fill the gap in the sentence.** The youth prefer discussing _contemporary_ issues to ______ ones.",archaic,uninteresting,stale,political,A,https://myschool.ng/classroom/english-language/48338?exam_type=waec&exam_year=2018&type=obj&page=1
2018,1,5,objective,,,"**In the following sentence, there is an underlined word and one gap. From the list of words lettered A to D, choose the one that is most nearly opposite in meaning to the underlined word and that will at the same time, correctly fill the gap in the sentence.** As _erroneous_ as it might sound, the Headmaster's assumption was quite _______",wise,correct,precise,faulty,B,https://myschool.ng/classroom/english-language/48341?exam_type=waec&exam_year=2018&type=obj&page=1
2018,2,6,objective,,,"**In the following sentence, there is an underlined word and one gap. From the list of words lettered A to D, choose the one that is most nearly opposite in meaning to the underlined word and that will at the same time, correctly fill the gap in the sentence.** Halima likes to dwell on _trivial_ , rather than _______ matters.",strong,popular,weighty,heavy,C,https://myschool.ng/classroom/english-language/48343?exam_type=waec&exam_year=2018&type=obj&page=2
2018,2,7,objective,,,"**In the following sentence, there is an underlined word and one gap. From the list of words lettered A to D, choose the one that is most nearly opposite in meaning to the underlined word and that will at the same time, correctly fill the gap in the sentence.** We all know that Bola is _insolent_ whereas Ade is ________",cowardly,respectful,humble,modest,B,https://myschool.ng/classroom/english-language/48345?exam_type=waec&exam_year=2018&type=obj&page=2
2018,2,8,objective,,,"**In the following sentence, there is an underlined word and one gap. From the list of words lettered A to D, choose the one that is most nearly opposite in meaning to the underlined word and that will at the same time, correctly fill the gap in the sentence.** A few days after Musa's _______, his sister longed for his _departure_ .",coming,entrance,arrival,welcome,C,https://myschool.ng/classroom/english-language/48346?exam_type=waec&exam_year=2018&type=obj&page=2
2018,2,9,objective,,,"**In the following sentence, there is an underlined word and one gap. From the list of words lettered A to D, choose the one that is most nearly opposite in meaning to the underlined word and that will at the same time, correctly fill the gap in the sentence.** Algebra seems _complicated_ , but with practice it becomes ________",solved,simple,accessible,achievable,B,https://myschool.ng/classroom/english-language/48349?exam_type=waec&exam_year=2018&type=obj&page=2
2018,2,10,objective,,,"**In the following sentence, there is an underlined word and one gap. From the list of words lettered A to D, choose the one that is most nearly opposite in meaning to the underlined word and that will at the same time, correctly fill the gap in the sentence.** Mrs. Agide is _unassuming_ whereas her twin sister is ________",cheerful,boastful,loud,rude,B,https://myschool.ng/classroom/english-language/48350?exam_type=waec&exam_year=2018&type=obj&page=2
2018,3,11,objective,,,"**From the words lettered A to D, choose the word that best completes each of the following sentences.** At Christmas, employees of the Sugar Factory receive huge ________",benefits,dividends,bonuses,salaries,C,https://myschool.ng/classroom/english-language/48361?exam_type=waec&exam_year=2018&type=obj&page=3
2018,3,12,objective,,,"**From the words lettered A to D, choose the word that best completes each of the following sentences.** The exposed milk in the container has turned _______",sour,putrid,mouldy,stale,A,https://myschool.ng/classroom/english-language/48363?exam_type=waec&exam_year=2018&type=obj&page=3
2018,3,13,objective,,,"**From the words lettered A to D, choose the word that best completes each of the following sentences.** Not all activists champion ________ causes.",worthy,real,concrete,favourable,A,https://myschool.ng/classroom/english-language/48364?exam_type=waec&exam_year=2018&type=obj&page=3
2018,3,14,objective,,,"**From the words lettered A to D, choose the word that best completes each of the following sentences.** The Mayor gave a glowing ________ at the funeral of the city's only curator.",citation,statement,tribute,commendation,C,https://myschool.ng/classroom/english-language/48366?exam_type=waec&exam_year=2018&type=obj&page=3
2018,3,15,objective,,,"**From the words lettered A to D, choose the word that best completes each of the following sentences.** At the end of the _______. the National Anthem is played on our radio station.",programming,production,transition,transmission,D,https://myschool.ng/classroom/english-language/48367?exam_type=waec&exam_year=2018&type=obj&page=3
