Year,Page,Question_Number,Question_Type,Instruction,Diagram_Context,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2016,1,1,general,,,,Human wants are insatiable because wants are,limited while means are scarce,unlimited and means are also unlimited,limited and means are also limited,unlimited while means are scarce,D,https://myschool.ng/classroom/economics/45383?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,2,international-trade,,,,Scale of preference is important for the following reasons except in,satisfying wants,making rational,making optinum allocation of resources,using scarce resources efficiently,A,https://myschool.ng/classroom/economics/45384?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,3,calculation,,,,"In a socialist economy, prices of commodities are determined by",forces of demand and supply,producers of the commodities,the central planning authority,consumers who are sovereign,C,https://myschool.ng/classroom/economics/45385?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,4,general,,,,Which of the following cannot be classified as land in economics,Bauxite deposit in the ground,A lake used for irrigation,A bulldozer for clearing farm land,Grazing field for cattle,C,https://myschool.ng/classroom/economics/45386?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,5,microeconomics,,,https://myschool.ng/storage/classroom/22207760040_1st winner pix.jpg,"**A country allocation to various sectors of the economy is shown in the pie chat below, use it to answer question 5 and 6** If the budget of the country was $7,200, how much is allocated to Education?","$2,400.00","$2,000.00","$1,200.00","$1,000.00",A,https://myschool.ng/classroom/economics/45402?exam_type=waec&exam_year=2016&type=obj&page=1
2016,2,6,microeconomics,,,https://myschool.ng/storage/classroom/1jwGXjYbykbA4DhO4TuX6nB6ZfSr7gMIMPERzw9M.png,A country's budget allocation to various sectors of the economy is shown in the pie chart above. Use it to answer the question below. What is the ratio of expenditure on health to agriculture?,2:3,3:4,4:3,5:4,B,https://myschool.ng/classroom/economics/45404?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,7,microeconomics,,,,The demand curve for neccessity is usually,vertical,backward bending,horizontal,negatively sloped,A,https://myschool.ng/classroom/economics/45405?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,8,calculation,,,,What effect will an increase in price have on the total revenue of a firm whose product has inelastic demand? total revenue will,increase,fall,fluctuate,remain unchanged,A,https://myschool.ng/classroom/economics/45407?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,9,microeconomics,,,,"If the quantity of men's hat demanded per week is represented by the function Qd=20-\(\frac{1}{3}\)P, where P is price, how many hats are demanded when the price is $9.00?",11,17,23,47,B,https://myschool.ng/classroom/economics/45408?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,10,microeconomics,,,,The demand for torch and batteries is an example of,competitive demand,composite demand,complementary demand,derived demand,C,https://myschool.ng/classroom/economics/45409?exam_type=waec&exam_year=2016&type=obj&page=2
2016,3,11,microeconomics,,,,Price elasticity of demand or supply measures how responsive,consumers are to a change in price,sellers are to a change in price,sellers are to a change in price,buyers are to a change in income,C,https://myschool.ng/classroom/economics/45410?exam_type=waec&exam_year=2016&type=obj&page=3
2016,3,12,general,,,,The tendency for workers to value their leisure hours more than hours of work as wage rate increases gives rise to,positively sloping supply curve,perfectly elastic supply curve,backward bending supply curve,perfectly inelastic,A,https://myschool.ng/classroom/economics/45412?exam_type=waec&exam_year=2016&type=obj&page=3
2016,3,13,microeconomics,,,,"The supply of rice in tons is given by the equation: Qs -80 - 0.7P = 0. Where Qs = Quantity supplied P = price in naira. Find Qs, when P = N40",108ton,52tons,-52tons,-108tons,A,https://myschool.ng/classroom/economics/45413?exam_type=waec&exam_year=2016&type=obj&page=3
2016,3,14,microeconomics,,,,How does producers expectation of a price fall affect the supply curve of a product? There will be,a moment along the curve,a leftward shift,no shift of the supply curve,a shift to the right,D,https://myschool.ng/classroom/economics/45414?exam_type=waec&exam_year=2016&type=obj&page=3
